config,n_platforms,rho_e,alpha,iteration,platform_id,burst_index,burst_step,burst_size
exp2_np27_rho005_alpha10,27,0.05,10,13,901,0,28,13.0
exp2_np27_rho005_alpha10,27,0.05,10,13,902,0,24,11.0
exp2_np27_rho005_alpha10,27,0.05,10,13,919,0,32,13.0
exp2_np27_rho005_alpha10,27,0.05,10,9,902,0,51,20.0
exp2_np27_rho005_alpha10,27,0.05,10,9,904,0,71,11.0
exp2_np27_rho005_alpha10,27,0.05,10,9,908,0,86,14.0
exp2_np27_rho005_alpha10,27,0.05,10,9,909,0,57,18.0
exp2_np27_rho005_alpha10,27,0.05,10,9,909,1,69,10.0
exp2_np27_rho005_alpha10,27,0.05,10,9,909,2,98,18.0
exp2_np27_rho005_alpha10,27,0.05,10,9,910,0,59,10.0
exp2_np27_rho005_alpha10,27,0.05,10,9,914,0,55,13.0
exp2_np27_rho005_alpha10,27,0.05,10,9,916,0,94,11.0
exp2_np27_rho005_alpha10,27,0.05,10,9,920,0,92,13.0
exp2_np27_rho005_alpha10,27,0.05,10,9,922,0,43,16.0
exp2_np27_rho005_alpha10,27,0.05,10,9,925,0,73,18.0
exp2_np27_rho005_alpha10,27,0.05,10,8,904,0,90,12.0
exp2_np27_rho005_alpha10,27,0.05,10,8,905,0,17,10.0
exp2_np27_rho005_alpha10,27,0.05,10,8,906,0,82,12.0
exp2_np27_rho005_alpha10,27,0.05,10,8,908,0,63,10.0
exp2_np27_rho005_alpha10,27,0.05,10,8,908,1,76,11.0
exp2_np27_rho005_alpha10,27,0.05,10,8,908,2,84,17.0
exp2_np27_rho005_alpha10,27,0.05,10,8,909,0,61,16.0
exp2_np27_rho005_alpha10,27,0.05,10,8,909,1,65,10.0
exp2_np27_rho005_alpha10,27,0.05,10,8,910,0,35,13.0
exp2_np27_rho005_alpha10,27,0.05,10,8,910,1,70,11.0
exp2_np27_rho005_alpha10,27,0.05,10,8,911,0,59,16.0
exp2_np27_rho005_alpha10,27,0.05,10,8,914,0,24,12.0
exp2_np27_rho005_alpha10,27,0.05,10,8,919,0,32,13.0
exp2_np27_rho005_alpha10,27,0.05,10,8,922,0,97,15.0
exp2_np27_rho005_alpha10,27,0.05,10,8,923,0,21,11.0
exp2_np27_rho005_alpha10,27,0.05,10,8,923,1,57,10.0
exp2_np27_rho005_alpha10,27,0.05,10,8,924,0,27,12.0
exp2_np27_rho005_alpha10,27,0.05,10,8,926,0,29,14.0
exp2_np27_rho005_alpha10,27,0.05,10,8,927,0,46,10.0
exp2_np27_rho005_alpha10,27,0.05,10,15,902,0,10,18.0
exp2_np27_rho005_alpha10,27,0.05,10,15,902,1,63,10.0
