config,n_platforms,rho_e,alpha,iteration,n_events,mainstream_util_delta_mean,mainstream_util_delta_median,mainstream_util_delta_negative_fraction,fraction_to_algorithmic,fraction_to_coalition,burst_size_mean,burst_displacement_correlation
exp2_np27_rho005_alpha10,27,0.05,10,13,3,0.022317336868772426,0.021013117836189643,0.3333333333333333,0.3333333333333333,0.6666666666666666,12.333333333333334,0.8535121170612214
exp2_np27_rho005_alpha10,27,0.05,10,12,0,,,,,,,
exp2_np27_rho005_alpha10,27,0.05,10,9,10,-0.008495658130589145,-0.01285843631807504,0.6,0.4,0.6,13.8,-0.39539144996155406
exp2_np27_rho005_alpha10,27,0.05,10,8,14,0.0019232681869532087,-0.0028637153992869813,0.5714285714285714,0.35714285714285715,0.6428571428571429,12.142857142857142,-0.09191930069838901
exp2_np27_rho005_alpha10,27,0.05,10,15,32,0.018644224246723545,0.022868141874275327,0.34375,0.5,0.5,15.09375,0.17974875302314464
exp2_np27_rho005_alpha10,27,0.05,10,2,26,0.005830765669809164,-0.008950185278468581,0.5769230769230769,0.4230769230769231,0.5769230769230769,13.384615384615385,0.3527289907325522
exp2_np27_rho005_alpha10,27,0.05,10,1,12,0.017608872260362746,-0.001234452748663628,0.5,0.5833333333333334,0.4166666666666667,14.5,0.5841383012641558
exp2_np27_rho005_alpha10,27,0.05,10,10,36,0.020615030095480255,0.011878116294451235,0.4444444444444444,0.6666666666666666,0.3333333333333333,15.277777777777779,-0.324152686115506
exp2_np27_rho005_alpha10,27,0.05,10,14,14,0.014738711148759418,0.0386545802244016,0.21428571428571427,0.7142857142857143,0.2857142857142857,15.285714285714286,-0.44123811430496523
exp2_np27_rho005_alpha10,27,0.05,10,0,5,0.050472427777360454,0.05888769833065588,0.2,0.8,0.2,10.8,-0.11332189358565936
exp2_np27_rho005_alpha10,27,0.05,10,7,12,-0.007205898288984584,-0.02714075493747936,0.5833333333333334,0.4166666666666667,0.5833333333333334,12.333333333333334,-0.15101748016052916
exp2_np27_rho005_alpha10,27,0.05,10,11,12,0.008526177494129946,0.01615118125649273,0.4166666666666667,0.5,0.5,11.75,-0.6537619694494903
exp2_np27_rho005_alpha10,27,0.05,10,3,23,0.007954682222469693,0.004456071113090765,0.4782608695652174,0.6086956521739131,0.391304347826087,13.478260869565217,-0.14779417732468772
exp2_np27_rho005_alpha10,27,0.05,10,5,35,0.010442831617968754,0.022161526540114274,0.37142857142857144,0.5142857142857142,0.4857142857142857,17.914285714285715,-0.3081661574584476
exp2_np27_rho005_alpha10,27,0.05,10,6,18,0.010506056002705686,-0.00945711646669034,0.5,0.4444444444444444,0.5555555555555556,16.38888888888889,-0.212132069479991
exp2_np27_rho005_alpha10,27,0.05,10,4,2,0.014983847435432462,0.014983847435432462,0.5,0.5,0.5,10.5,
