config,n_platforms,rho_e,alpha,iteration,platform_id,mean_homogeneity,fraction_enclaved,settling_step,n_disruptions,mean_recovery_steps
exp2_np27_rho005_alpha10,27,0.05,10,13,908,0.9070831919628359,0.6,,0,
exp2_np27_rho005_alpha10,27,0.05,10,13,910,0.9981818181818182,0.99,7,0,
exp2_np27_rho005_alpha10,27,0.05,10,13,913,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,13,916,0.9193099010982138,0.7,37,14,1.2142857142857142
exp2_np27_rho005_alpha10,27,0.05,10,13,920,0.9631847925466347,0.87,18,8,1.125
exp2_np27_rho005_alpha10,27,0.05,10,13,921,0.922545843045843,0.72,19,14,1.5384615384615385
exp2_np27_rho005_alpha10,27,0.05,10,13,924,0.9586205285942129,0.85,38,0,
exp2_np27_rho005_alpha10,27,0.05,10,13,925,0.9182256191520897,0.6,,0,
exp2_np27_rho005_alpha10,27,0.05,10,13,927,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,12,902,0.9554523064193063,0.83,30,8,1.0
exp2_np27_rho005_alpha10,27,0.05,10,12,905,0.9028717709617226,0.6,,0,
exp2_np27_rho005_alpha10,27,0.05,10,12,907,0.9311141287333239,0.62,2,19,1.9473684210526316
exp2_np27_rho005_alpha10,27,0.05,10,12,912,0.9615114803497157,0.79,47,6,1.4
exp2_np27_rho005_alpha10,27,0.05,10,12,916,0.9717870074370074,0.86,45,5,1.0
exp2_np27_rho005_alpha10,27,0.05,10,12,919,0.9389122666978704,0.67,,0,
exp2_np27_rho005_alpha10,27,0.05,10,12,922,0.9706554272666804,0.9,28,0,
exp2_np27_rho005_alpha10,27,0.05,10,12,925,0.891794812071986,0.51,,0,
exp2_np27_rho005_alpha10,27,0.05,10,12,927,0.8864260505146728,0.54,64,6,2.0
exp2_np27_rho005_alpha10,27,0.05,10,9,902,0.9602936507936508,0.83,60,0,
exp2_np27_rho005_alpha10,27,0.05,10,9,910,0.9574794608985786,0.85,28,2,1.5
exp2_np27_rho005_alpha10,27,0.05,10,9,911,0.9697115245865245,0.9,16,0,
exp2_np27_rho005_alpha10,27,0.05,10,9,918,0.9843501144164759,0.96,1,2,2.0
exp2_np27_rho005_alpha10,27,0.05,10,9,919,0.9283227233550764,0.73,67,4,2.25
exp2_np27_rho005_alpha10,27,0.05,10,9,921,0.9243210237474944,0.64,83,0,
exp2_np27_rho005_alpha10,27,0.05,10,9,922,0.9247500267310889,0.72,45,0,
exp2_np27_rho005_alpha10,27,0.05,10,9,925,0.925801250220368,0.7,74,0,
exp2_np27_rho005_alpha10,27,0.05,10,9,926,1.0,1.0,1,0,
exp2_np27_rho005_alpha10,27,0.05,10,8,902,0.9700604822164419,0.89,7,8,1.25
exp2_np27_rho005_alpha10,27,0.05,10,8,905,0.9657878787878788,0.87,18,5,1.4
exp2_np27_rho005_alpha10,27,0.05,10,8,910,0.9312677998311496,0.76,35,6,1.6666666666666667
exp2_np27_rho005_alpha10,27,0.05,10,8,911,0.9562272079772081,0.9,1,6,1.6666666666666667
exp2_np27_rho005_alpha10,27,0.05,10,8,912,0.9749602064602065,0.91,1,8,1.125
exp2_np27_rho005_alpha10,27,0.05,10,8,914,0.9403142054024407,0.72,25,10,1.6
exp2_np27_rho005_alpha10,27,0.05,10,8,918,0.9841239316239316,0.94,15,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,8,922,0.8469989004100156,0.42,,0,
exp2_np27_rho005_alpha10,27,0.05,10,8,927,0.9179774844720499,0.75,46,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,15,905,0.9539420995670995,0.85,27,5,1.2
exp2_np27_rho005_alpha10,27,0.05,10,15,908,0.945738011257748,0.84,4,9,1.625
exp2_np27_rho005_alpha10,27,0.05,10,15,910,0.9154799236001281,0.59,,0,
exp2_np27_rho005_alpha10,27,0.05,10,15,912,0.9903631239935587,0.96,1,3,1.3333333333333333
exp2_np27_rho005_alpha10,27,0.05,10,15,916,0.9739129875026934,0.92,1,2,4.0
exp2_np27_rho005_alpha10,27,0.05,10,15,919,0.9691264393501237,0.85,21,9,1.2222222222222223
exp2_np27_rho005_alpha10,27,0.05,10,15,921,0.9843752497502498,0.96,8,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,15,923,0.8703717486647052,0.53,,0,
exp2_np27_rho005_alpha10,27,0.05,10,15,927,0.9724287320866268,0.9,20,1,1.0
exp2_np27_rho005_alpha10,27,0.05,10,2,901,0.9591739371739372,0.88,5,9,1.25
exp2_np27_rho005_alpha10,27,0.05,10,2,902,0.9101422414015293,0.6,91,0,
exp2_np27_rho005_alpha10,27,0.05,10,2,907,0.9671091912903058,0.87,32,1,3.0
exp2_np27_rho005_alpha10,27,0.05,10,2,908,0.9510062582326515,0.8,13,10,1.8
exp2_np27_rho005_alpha10,27,0.05,10,2,910,0.935655511155511,0.81,54,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,2,914,0.9685108309990663,0.88,1,8,1.5
exp2_np27_rho005_alpha10,27,0.05,10,2,919,0.9229456654456654,0.67,,0,
exp2_np27_rho005_alpha10,27,0.05,10,2,922,0.8721528470669335,0.56,69,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,2,927,0.984467317960453,0.93,16,1,2.0
exp2_np27_rho005_alpha10,27,0.05,10,1,902,0.9263399905941136,0.71,89,0,
exp2_np27_rho005_alpha10,27,0.05,10,1,906,0.9635938989630941,0.87,3,11,1.0909090909090908
exp2_np27_rho005_alpha10,27,0.05,10,1,910,0.9842674474648159,0.91,34,0,
exp2_np27_rho005_alpha10,27,0.05,10,1,913,0.9445009854715737,0.79,43,2,1.0
exp2_np27_rho005_alpha10,27,0.05,10,1,914,0.8838640497789106,0.44,,0,
exp2_np27_rho005_alpha10,27,0.05,10,1,917,0.9666512124012898,0.85,19,6,1.8333333333333333
exp2_np27_rho005_alpha10,27,0.05,10,1,919,0.9532830739521916,0.81,1,17,1.125
exp2_np27_rho005_alpha10,27,0.05,10,1,925,0.9604176656676657,0.89,14,2,1.5
exp2_np27_rho005_alpha10,27,0.05,10,1,926,0.9766549936991114,0.93,11,5,1.0
exp2_np27_rho005_alpha10,27,0.05,10,10,902,0.9934444444444444,0.97,1,2,1.5
exp2_np27_rho005_alpha10,27,0.05,10,10,903,0.9306673804351823,0.66,72,0,
