config,n_platforms,rho_e,alpha,iteration,platform_id,n_bursts,slope,r2,classification
exp2_np27_rho005_alpha10,27,0.05,10,9,909,3,-3.17764371615651e-15,-2.220446049250313e-16,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,8,908,3,3.499999999999999,0.8546511627906974,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,15,902,3,2.999999999999996,0.18243243243243246,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,15,904,3,-0.9999999999999986,0.15789473684210542,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,15,907,5,-0.49999999999999983,0.10775862068965514,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,15,917,3,6.999999999999997,0.8546511627906976,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,15,922,6,-0.8571428571428554,0.05269320843091363,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,15,926,3,-4.0,0.9230769230769231,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,2,903,3,0.5000000000000009,0.035714285714285365,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,2,908,3,0.4999999999999977,0.02419354838709642,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,2,911,3,-0.4999999999999977,0.7500000000000009,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,2,923,3,-0.5000000000000001,0.024193548387096753,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,10,901,3,3.4999999999999982,0.9932432432432432,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,10,907,3,-4.0,0.8421052631578947,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,10,908,4,2.6999999999999984,0.5460674157303371,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,10,924,3,-0.999999999999997,0.0769230769230772,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,10,925,5,-0.4000000000000012,0.01632653061224487,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,10,926,4,2.6999999999999984,0.5460674157303371,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,10,927,6,-0.1714285714285709,0.00461933276304527,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,14,925,3,1.5000000000000004,0.7500000000000003,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,11,913,3,1.4999999999999991,0.9642857142857144,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,3,901,3,7.944109290391275e-16,0.0,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,3,904,4,0.8999999999999984,0.27457627118644057,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,3,908,3,3.9999999999999982,0.923076923076923,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,3,927,3,-1.0000000000000002,0.25,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,5,902,4,-3.79801067982192e-15,0.0,raiding_stable
exp2_np27_rho005_alpha10,27,0.05,10,5,911,3,8.5,0.75,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,5,913,4,2.099999999999996,0.4927374301675973,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,5,917,3,4.500000000000002,0.6675824175824173,raiding_base
exp2_np27_rho005_alpha10,27,0.05,10,5,920,4,1.0999999999999976,0.09641434262948223,raiding_stable
