iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.636667,6.636667,0.000000,0.663667,0.000000,23723,79.076667,100
1,43,6.573333,6.573333,0.000000,0.657333,0.000000,23729,79.096667,100
2,44,6.433333,6.433333,0.000000,0.643333,0.000000,23736,79.120000,100
3,45,6.386667,6.386667,0.000000,0.638667,0.000000,23724,79.080000,100
4,46,6.603333,6.603333,0.000000,0.660333,0.000000,23598,78.660000,100
5,47,6.693333,6.693333,0.000000,0.669333,0.000000,23642,78.806667,100
6,48,6.353333,6.353333,0.000000,0.635333,0.000000,23781,79.270000,100
7,49,6.460000,6.460000,0.000000,0.646000,0.000000,23625,78.750000,100
8,50,6.556667,6.556667,0.000000,0.655667,0.000000,23610,78.700000,100
9,51,6.190000,6.190000,0.000000,0.619000,0.000000,23727,79.090000,100
10,52,6.316667,6.316667,0.000000,0.631667,0.000000,23571,78.570000,100
11,53,6.516667,6.516667,0.000000,0.651667,0.000000,23746,79.153333,100
12,54,6.370000,6.370000,0.000000,0.637000,0.000000,23553,78.510000,100
13,55,6.586667,6.586667,0.000000,0.658667,0.000000,23728,79.093333,100
14,56,6.393333,6.393333,0.000000,0.639333,0.000000,23687,78.956667,100
15,57,6.503333,6.503333,0.000000,0.650333,0.000000,23698,78.993333,100
16,58,6.560000,6.560000,0.000000,0.656000,0.000000,23550,78.500000,100
17,59,6.343333,6.343333,0.000000,0.634333,0.000000,23744,79.146667,100
18,60,6.356667,6.356667,0.000000,0.635667,0.000000,23773,79.243333,100
19,61,6.396667,6.396667,0.000000,0.639667,0.000000,23584,78.613333,100
20,62,6.263333,6.263333,0.000000,0.626333,0.000000,23757,79.190000,100
21,63,6.470000,6.470000,0.000000,0.647000,0.000000,23720,79.066667,100
22,64,6.586667,6.586667,0.000000,0.658667,0.000000,23706,79.020000,100
23,65,6.576667,6.576667,0.000000,0.657667,0.000000,23799,79.330000,100
24,66,6.490000,6.490000,0.000000,0.649000,0.000000,23787,79.290000,100
25,67,6.543333,6.543333,0.000000,0.654333,0.000000,23796,79.320000,100
26,68,6.606667,6.606667,0.000000,0.660667,0.000000,23700,79.000000,100
27,69,6.423333,6.423333,0.000000,0.642333,0.000000,23706,79.020000,100
28,70,6.530000,6.530000,0.000000,0.653000,0.000000,23629,78.763333,100
29,71,6.600000,6.600000,0.000000,0.660000,0.000000,23821,79.403333,100
30,72,6.320000,6.320000,0.000000,0.632000,0.000000,23701,79.003333,100
31,73,6.766667,6.766667,0.000000,0.676667,0.000000,23696,78.986667,100
32,74,6.436667,6.436667,0.000000,0.643667,0.000000,23747,79.156667,100
33,75,6.543333,6.543333,0.000000,0.654333,0.000000,23803,79.343333,100
34,76,6.536667,6.536667,0.000000,0.653667,0.000000,23658,78.860000,100
35,77,6.566667,6.566667,0.000000,0.656667,0.000000,23699,78.996667,100
