step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,n_relocations_mean,n_relocations_ci,utility_algorithmic_mean,utility_algorithmic_ci
1,6.281500,0.010989,300.000000,0.000000,244.290000,0.933966,6.281500,0.010989
2,6.465333,0.017166,300.000000,0.000000,237.940000,1.498992,6.465333,0.017166
3,6.469767,0.015736,300.000000,0.000000,237.655000,1.355195,6.469767,0.015736
4,6.474017,0.017931,300.000000,0.000000,236.765000,1.551973,6.474017,0.017931
5,6.475117,0.016257,300.000000,0.000000,236.870000,1.380927,6.475117,0.016257
6,6.486933,0.016964,300.000000,0.000000,236.885000,1.418977,6.486933,0.016964
7,6.482750,0.016591,300.000000,0.000000,237.750000,1.444633,6.482750,0.016591
8,6.490100,0.017107,300.000000,0.000000,236.255000,1.498371,6.490100,0.017107
9,6.503750,0.017906,300.000000,0.000000,235.635000,1.585762,6.503750,0.017906
10,6.488283,0.017049,300.000000,0.000000,235.890000,1.513867,6.488283,0.017049
11,6.472567,0.015523,300.000000,0.000000,237.660000,1.399474,6.472567,0.015523
12,6.476167,0.016206,300.000000,0.000000,237.510000,1.341551,6.476167,0.016206
13,6.493200,0.017730,300.000000,0.000000,237.460000,1.506904,6.493200,0.017730
14,6.457233,0.016677,300.000000,0.000000,239.185000,1.283310,6.457233,0.016677
15,6.492700,0.017838,300.000000,0.000000,236.455000,1.388698,6.492700,0.017838
16,6.480267,0.016917,300.000000,0.000000,236.980000,1.556196,6.480267,0.016917
17,6.467917,0.017319,300.000000,0.000000,237.885000,1.438501,6.467917,0.017319
18,6.474783,0.017285,300.000000,0.000000,237.130000,1.498520,6.474783,0.017285
19,6.485900,0.017926,300.000000,0.000000,236.205000,1.403734,6.485900,0.017926
20,6.485883,0.017206,300.000000,0.000000,237.650000,1.429115,6.485883,0.017206
21,6.486500,0.016421,300.000000,0.000000,236.835000,1.481122,6.486500,0.016421
22,6.483167,0.017759,300.000000,0.000000,237.000000,1.405981,6.483167,0.017759
23,6.481383,0.016794,300.000000,0.000000,236.540000,1.497459,6.481383,0.016794
24,6.484733,0.015797,300.000000,0.000000,236.740000,1.436894,6.484733,0.015797
25,6.489933,0.017266,300.000000,0.000000,236.465000,1.523723,6.489933,0.017266
26,6.480517,0.017261,300.000000,0.000000,237.220000,1.563880,6.480517,0.017261
27,6.472050,0.016069,300.000000,0.000000,237.570000,1.358177,6.472050,0.016069
28,6.486267,0.017308,300.000000,0.000000,236.915000,1.502667,6.486267,0.017308
29,6.474917,0.016517,300.000000,0.000000,238.185000,1.359780,6.474917,0.016517
30,6.484983,0.017059,300.000000,0.000000,237.480000,1.400338,6.484983,0.017059
31,6.464900,0.016793,300.000000,0.000000,237.625000,1.302375,6.464900,0.016793
32,6.477500,0.018488,300.000000,0.000000,237.685000,1.520152,6.477500,0.018488
33,6.469117,0.017047,300.000000,0.000000,237.010000,1.404194,6.469117,0.017047
34,6.474817,0.016172,300.000000,0.000000,236.780000,1.496641,6.474817,0.016172
35,6.503567,0.017044,300.000000,0.000000,235.420000,1.511095,6.503567,0.017044
36,6.468033,0.016212,300.000000,0.000000,237.680000,1.418677,6.468033,0.016212
37,6.467683,0.016011,300.000000,0.000000,238.180000,1.488143,6.467683,0.016011
38,6.474433,0.015645,300.000000,0.000000,237.885000,1.396902,6.474433,0.015645
39,6.468733,0.016169,300.000000,0.000000,236.830000,1.424472,6.468733,0.016169
40,6.474183,0.017870,300.000000,0.000000,237.055000,1.446932,6.474183,0.017870
