Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.493000,0.124319,6.475770,6.510230,6.495000,6.173333,6.786667,200
avg_utility_mainstream,6.493000,0.124319,6.475770,6.510230,6.495000,6.173333,6.786667,200
avg_utility_gov_algorithmic,6.493000,0.124319,6.475770,6.510230,6.495000,6.173333,6.786667,200
avg_utility_mainstream_algorithmic,6.493000,0.124319,6.475770,6.510230,6.495000,6.173333,6.786667,200
norm_utility_mainstream,0.649300,0.012432,0.647577,0.651023,0.649500,0.617333,0.678667,200
total_relocations,23705.670000,96.387884,23692.311321,23719.028679,23701.500000,23456.000000,24011.000000,200
avg_relocations_per_community,79.018900,0.321293,78.974371,79.063429,79.005000,78.186667,80.036667,200
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,200
final_count_algorithmic,300.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,200
final_proportion_algorithmic,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,200
final_count_mainstream_algorithmic,300.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,200
convergence_settling_step,99.465000,,,,,,,
convergence_pattern_mode,NOISY_PLATEAU,,,,,,,
