iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.160000,6.160000,0.000000,0.616000,0.000000,18568,61.893333,100
1,43,6.116667,6.116667,0.000000,0.611667,0.000000,18522,61.740000,100
2,44,6.080000,6.080000,0.000000,0.608000,0.000000,18385,61.283333,100
3,45,5.930000,5.930000,0.000000,0.593000,0.000000,18619,62.063333,100
4,46,6.000000,6.000000,0.000000,0.600000,0.000000,18656,62.186667,100
5,47,5.950000,5.950000,0.000000,0.595000,0.000000,18389,61.296667,100
6,48,6.170000,6.170000,0.000000,0.617000,0.000000,18751,62.503333,100
7,49,6.160000,6.160000,0.000000,0.616000,0.000000,18708,62.360000,100
8,50,5.910000,5.910000,0.000000,0.591000,0.000000,18528,61.760000,100
9,51,6.093333,6.093333,0.000000,0.609333,0.000000,18571,61.903333,100
10,52,5.956667,5.956667,0.000000,0.595667,0.000000,18606,62.020000,100
11,53,6.090000,6.090000,0.000000,0.609000,0.000000,18613,62.043333,100
12,54,6.216667,6.216667,0.000000,0.621667,0.000000,18354,61.180000,100
13,55,5.973333,5.973333,0.000000,0.597333,0.000000,18722,62.406667,100
14,56,5.833333,5.833333,0.000000,0.583333,0.000000,18392,61.306667,100
15,57,6.180000,6.180000,0.000000,0.618000,0.000000,18584,61.946667,100
16,58,6.043333,6.043333,0.000000,0.604333,0.000000,18218,60.726667,100
17,59,5.856667,5.856667,0.000000,0.585667,0.000000,18618,62.060000,100
18,60,6.136667,6.136667,0.000000,0.613667,0.000000,18513,61.710000,100
19,61,6.263333,6.263333,0.000000,0.626333,0.000000,18688,62.293333,100
20,62,5.903333,5.903333,0.000000,0.590333,0.000000,18871,62.903333,100
21,63,6.110000,6.110000,0.000000,0.611000,0.000000,18809,62.696667,100
22,64,6.463333,6.463333,0.000000,0.646333,0.000000,18473,61.576667,100
23,65,6.093333,6.093333,0.000000,0.609333,0.000000,18533,61.776667,100
24,66,6.116667,6.116667,0.000000,0.611667,0.000000,18418,61.393333,100
25,67,5.910000,5.910000,0.000000,0.591000,0.000000,18624,62.080000,100
26,68,6.093333,6.093333,0.000000,0.609333,0.000000,18675,62.250000,100
27,69,6.030000,6.030000,0.000000,0.603000,0.000000,18694,62.313333,100
28,70,5.990000,5.990000,0.000000,0.599000,0.000000,18899,62.996667,100
29,71,5.896667,5.896667,0.000000,0.589667,0.000000,18540,61.800000,100
30,72,6.146667,6.146667,0.000000,0.614667,0.000000,18731,62.436667,100
31,73,6.170000,6.170000,0.000000,0.617000,0.000000,18507,61.690000,100
32,74,6.006667,6.006667,0.000000,0.600667,0.000000,18716,62.386667,100
33,75,5.893333,5.893333,0.000000,0.589333,0.000000,18545,61.816667,100
34,76,5.883333,5.883333,0.000000,0.588333,0.000000,18791,62.636667,100
35,77,6.326667,6.326667,0.000000,0.632667,0.000000,18533,61.776667,100
36,78,5.963333,5.963333,0.000000,0.596333,0.000000,18424,61.413333,100
37,79,6.250000,6.250000,0.000000,0.625000,0.000000,18623,62.076667,100
38,80,6.233333,6.233333,0.000000,0.623333,0.000000,18482,61.606667,100
39,81,6.026667,6.026667,0.000000,0.602667,0.000000,18521,61.736667,100
40,82,5.770000,5.770000,0.000000,0.577000,0.000000,18416,61.386667,100
41,83,6.116667,6.116667,0.000000,0.611667,0.000000,18701,62.336667,100
42,84,6.083333,6.083333,0.000000,0.608333,0.000000,18777,62.590000,100
43,85,6.096667,6.096667,0.000000,0.609667,0.000000,18731,62.436667,100
44,86,5.976667,5.976667,0.000000,0.597667,0.000000,18581,61.936667,100
45,87,5.893333,5.893333,0.000000,0.589333,0.000000,18738,62.460000,100
46,88,6.116667,6.116667,0.000000,0.611667,0.000000,18761,62.536667,100
47,89,6.130000,6.130000,0.000000,0.613000,0.000000,18802,62.673333,100
48,90,5.976667,5.976667,0.000000,0.597667,0.000000,18765,62.550000,100
49,91,6.116667,6.116667,0.000000,0.611667,0.000000,18715,62.383333,100
50,92,6.133333,6.133333,0.000000,0.613333,0.000000,18364,61.213333,100
51,93,6.230000,6.230000,0.000000,0.623000,0.000000,18844,62.813333,100
52,94,6.156667,6.156667,0.000000,0.615667,0.000000,18513,61.710000,100
53,95,6.110000,6.110000,0.000000,0.611000,0.000000,18597,61.990000,100
54,96,6.210000,6.210000,0.000000,0.621000,0.000000,18654,62.180000,100
