step,avg_utility_mean,avg_utility_ci,community_count_coalition_mean,community_count_coalition_ci,n_relocations_mean,n_relocations_ci,utility_coalition_mean,utility_coalition_ci
1,5.398883,0.007262,300.000000,0.000000,228.470000,1.138120,5.398883,0.007262
2,6.048067,0.019576,300.000000,0.000000,187.595000,2.037133,6.048067,0.019576
3,6.057733,0.019180,300.000000,0.000000,187.235000,2.053080,6.057733,0.019180
4,6.070967,0.017029,300.000000,0.000000,186.505000,1.989668,6.070967,0.017029
5,6.046217,0.019734,300.000000,0.000000,187.385000,2.168040,6.046217,0.019734
6,6.046600,0.019601,300.000000,0.000000,186.825000,2.150596,6.046600,0.019601
7,6.050817,0.018841,300.000000,0.000000,186.665000,2.086253,6.050817,0.018841
8,6.050317,0.019372,300.000000,0.000000,187.875000,1.942436,6.050317,0.019372
9,6.072400,0.020026,300.000000,0.000000,184.175000,2.196074,6.072400,0.020026
10,6.078933,0.020165,300.000000,0.000000,185.295000,2.168045,6.078933,0.020165
11,6.061350,0.020048,300.000000,0.000000,187.280000,1.969783,6.061350,0.020048
12,6.054850,0.020565,300.000000,0.000000,186.630000,2.268452,6.054850,0.020565
13,6.061050,0.018150,300.000000,0.000000,186.035000,2.172963,6.061050,0.018150
14,6.069917,0.019173,300.000000,0.000000,185.230000,2.102908,6.069917,0.019173
15,6.040783,0.018673,300.000000,0.000000,186.785000,2.280951,6.040783,0.018673
16,6.088267,0.018440,300.000000,0.000000,183.620000,2.118085,6.088267,0.018440
17,6.063783,0.020001,300.000000,0.000000,185.730000,2.129228,6.063783,0.020001
18,6.052450,0.020142,300.000000,0.000000,187.170000,2.063871,6.052450,0.020142
19,6.061800,0.017550,300.000000,0.000000,184.875000,1.959406,6.061800,0.017550
20,6.063167,0.020574,300.000000,0.000000,184.905000,2.353830,6.063167,0.020574
21,6.033067,0.018759,300.000000,0.000000,189.115000,2.128070,6.033067,0.018759
22,6.057933,0.017622,300.000000,0.000000,185.375000,2.030410,6.057933,0.017622
23,6.084583,0.019497,300.000000,0.000000,184.305000,2.010429,6.084583,0.019497
24,6.063550,0.019229,300.000000,0.000000,185.755000,2.176519,6.063550,0.019229
25,6.076800,0.018784,300.000000,0.000000,183.760000,2.105685,6.076800,0.018784
26,6.059183,0.018086,300.000000,0.000000,187.290000,2.069545,6.059183,0.018086
27,6.047817,0.019401,300.000000,0.000000,187.495000,2.146803,6.047817,0.019401
28,6.050533,0.018513,300.000000,0.000000,186.810000,2.228446,6.050533,0.018513
29,6.055783,0.018810,300.000000,0.000000,186.645000,2.131955,6.055783,0.018810
30,6.060833,0.018505,300.000000,0.000000,184.365000,2.110078,6.060833,0.018505
31,6.055783,0.018699,300.000000,0.000000,185.780000,2.237254,6.055783,0.018699
32,6.059850,0.019540,300.000000,0.000000,185.775000,2.033783,6.059850,0.019540
33,6.068550,0.017290,300.000000,0.000000,185.905000,1.971715,6.068550,0.017290
34,6.080783,0.019968,300.000000,0.000000,183.455000,2.198857,6.080783,0.019968
35,6.048350,0.018469,300.000000,0.000000,186.300000,2.352082,6.048350,0.018469
36,6.061800,0.019542,300.000000,0.000000,186.990000,1.983010,6.061800,0.019542
37,6.055700,0.018221,300.000000,0.000000,185.460000,2.039205,6.055700,0.018221
38,6.064217,0.019871,300.000000,0.000000,184.740000,2.269597,6.064217,0.019871
