Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.057900,0.141526,6.038286,6.077514,6.058333,5.640000,6.463333,200
avg_utility_mainstream,6.057900,0.141526,6.038286,6.077514,6.058333,5.640000,6.463333,200
avg_utility_gov_coalition,6.057900,0.141526,6.038286,6.077514,6.058333,5.640000,6.463333,200
avg_utility_mainstream_coalition,6.057900,0.141526,6.038286,6.077514,6.058333,5.640000,6.463333,200
norm_utility_mainstream,0.605790,0.014153,0.603829,0.607751,0.605833,0.564000,0.646333,200
total_relocations,18634.195000,161.302665,18611.839591,18656.550409,18632.000000,18081.000000,18997.000000,200
avg_relocations_per_community,62.113983,0.537676,62.039465,62.188501,62.106667,60.270000,63.323333,200
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,200
final_count_coalition,300.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,200
final_proportion_coalition,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,200
final_count_mainstream_coalition,300.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,200
convergence_settling_step,99.645000,,,,,,,
convergence_pattern_mode,STILL_CLIMBING,,,,,,,
