iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,5.140000,5.140000,0.000000,0.514000,0.000000,18849,62.830000,100
1,43,5.503333,5.503333,0.000000,0.550333,0.000000,19303,64.343333,100
2,44,5.653333,5.653333,0.000000,0.565333,0.000000,17184,57.280000,100
3,45,5.426667,5.426667,0.000000,0.542667,0.000000,12744,42.480000,100
4,46,5.496667,5.496667,0.000000,0.549667,0.000000,17861,59.536667,100
5,47,5.213333,5.213333,0.000000,0.521333,0.000000,15199,50.663333,100
6,48,5.260000,5.260000,0.000000,0.526000,0.000000,17880,59.600000,100
7,49,5.570000,5.570000,0.000000,0.557000,0.000000,18395,61.316667,100
8,50,5.376667,5.376667,0.000000,0.537667,0.000000,18722,62.406667,100
9,51,5.510000,5.510000,0.000000,0.551000,0.000000,17525,58.416667,100
10,52,5.543333,5.543333,0.000000,0.554333,0.000000,16639,55.463333,100
11,53,5.520000,5.520000,0.000000,0.552000,0.000000,17072,56.906667,100
12,54,5.330000,5.330000,0.000000,0.533000,0.000000,18057,60.190000,100
13,55,5.273333,5.273333,0.000000,0.527333,0.000000,17758,59.193333,100
14,56,5.783333,5.783333,0.000000,0.578333,0.000000,17254,57.513333,100
15,57,5.143333,5.143333,0.000000,0.514333,0.000000,5783,19.276667,26
16,58,5.310000,5.310000,0.000000,0.531000,0.000000,17486,58.286667,100
17,59,4.950000,4.950000,0.000000,0.495000,0.000000,241,0.803333,1
18,60,6.173333,6.173333,0.000000,0.617333,0.000000,16320,54.400000,100
19,61,5.566667,5.566667,0.000000,0.556667,0.000000,17776,59.253333,100
20,62,5.376667,5.376667,0.000000,0.537667,0.000000,18083,60.276667,100
21,63,5.540000,5.540000,0.000000,0.554000,0.000000,16979,56.596667,100
22,64,5.596667,5.596667,0.000000,0.559667,0.000000,18119,60.396667,100
23,65,5.493333,5.493333,0.000000,0.549333,0.000000,18097,60.323333,100
24,66,5.540000,5.540000,0.000000,0.554000,0.000000,17652,58.840000,100
25,67,5.306667,5.306667,0.000000,0.530667,0.000000,17861,59.536667,100
26,68,5.486667,5.486667,0.000000,0.548667,0.000000,16041,53.470000,100
27,69,5.030000,5.030000,0.000000,0.503000,0.000000,17337,57.790000,100
28,70,5.563333,5.563333,0.000000,0.556333,0.000000,17316,57.720000,100
29,71,5.300000,5.300000,0.000000,0.530000,0.000000,18198,60.660000,100
30,72,5.286667,5.286667,0.000000,0.528667,0.000000,14120,47.066667,100
31,73,5.400000,5.400000,0.000000,0.540000,0.000000,17992,59.973333,100
32,74,5.396667,5.396667,0.000000,0.539667,0.000000,18202,60.673333,100
33,75,5.076667,5.076667,0.000000,0.507667,0.000000,259,0.863333,1
34,76,5.593333,5.593333,0.000000,0.559333,0.000000,18089,60.296667,100
35,77,5.256667,5.256667,0.000000,0.525667,0.000000,17005,56.683333,100
36,78,5.563333,5.563333,0.000000,0.556333,0.000000,18282,60.940000,100
37,79,5.550000,5.550000,0.000000,0.555000,0.000000,18259,60.863333,100
38,80,5.450000,5.450000,0.000000,0.545000,0.000000,18197,60.656667,100
39,81,5.553333,5.553333,0.000000,0.555333,0.000000,18512,61.706667,100
40,82,5.583333,5.583333,0.000000,0.558333,0.000000,16869,56.230000,100
41,83,5.473333,5.473333,0.000000,0.547333,0.000000,17674,58.913333,100
42,84,5.456667,5.456667,0.000000,0.545667,0.000000,17992,59.973333,100
43,85,5.250000,5.250000,0.000000,0.525000,0.000000,13543,45.143333,100
44,86,5.456667,5.456667,0.000000,0.545667,0.000000,18751,62.503333,100
45,87,5.406667,5.406667,0.000000,0.540667,0.000000,17910,59.700000,100
46,88,5.183333,5.183333,0.000000,0.518333,0.000000,14148,47.160000,100
47,89,5.406667,5.406667,0.000000,0.540667,0.000000,17080,56.933333,100
48,90,4.893333,4.893333,0.000000,0.489333,0.000000,251,0.836667,1
49,91,5.553333,5.553333,0.000000,0.555333,0.000000,18654,62.180000,100
50,92,5.426667,5.426667,0.000000,0.542667,0.000000,18709,62.363333,100
51,93,5.336667,5.336667,0.000000,0.533667,0.000000,17252,57.506667,100
52,94,5.330000,5.330000,0.000000,0.533000,0.000000,12093,40.310000,100
53,95,5.443333,5.443333,0.000000,0.544333,0.000000,14854,49.513333,100
54,96,5.486667,5.486667,0.000000,0.548667,0.000000,18428,61.426667,100
55,97,5.290000,5.290000,0.000000,0.529000,0.000000,16970,56.566667,100
56,98,5.466667,5.466667,0.000000,0.546667,0.000000,19229,64.096667,100
57,99,5.386667,5.386667,0.000000,0.538667,0.000000,16566,55.220000,100
58,100,5.596667,5.596667,0.000000,0.559667,0.000000,18027,60.090000,100
59,101,5.556667,5.556667,0.000000,0.555667,0.000000,18171,60.570000,100
60,102,5.240000,5.240000,0.000000,0.524000,0.000000,14339,47.796667,100
61,103,5.456667,5.456667,0.000000,0.545667,0.000000,18566,61.886667,100
62,104,5.546667,5.546667,0.000000,0.554667,0.000000,18125,60.416667,100
63,105,5.720000,5.720000,0.000000,0.572000,0.000000,18240,60.800000,100
64,106,5.376667,5.376667,0.000000,0.537667,0.000000,17105,57.016667,100
65,107,5.400000,5.400000,0.000000,0.540000,0.000000,16274,54.246667,100
66,108,5.343333,5.343333,0.000000,0.534333,0.000000,15561,51.870000,100
67,109,5.106667,5.106667,0.000000,0.510667,0.000000,250,0.833333,1
68,110,5.183333,5.183333,0.000000,0.518333,0.000000,250,0.833333,1
69,111,5.266667,5.266667,0.000000,0.526667,0.000000,17857,59.523333,100
70,112,5.123333,5.123333,0.000000,0.512333,0.000000,17797,59.323333,100
71,113,5.386667,5.386667,0.000000,0.538667,0.000000,18697,62.323333,100
72,114,5.346667,5.346667,0.000000,0.534667,0.000000,15445,51.483333,100
73,115,5.406667,5.406667,0.000000,0.540667,0.000000,18252,60.840000,100
74,116,5.233333,5.233333,0.000000,0.523333,0.000000,14892,49.640000,100
75,117,5.313333,5.313333,0.000000,0.531333,0.000000,16279,54.263333,100
76,118,5.250000,5.250000,0.000000,0.525000,0.000000,17706,59.020000,100
77,119,5.713333,5.713333,0.000000,0.571333,0.000000,17791,59.303333,100
78,120,5.846667,5.846667,0.000000,0.584667,0.000000,18037,60.123333,100
79,121,5.556667,5.556667,0.000000,0.555667,0.000000,18666,62.220000,100
80,122,5.356667,5.356667,0.000000,0.535667,0.000000,15366,51.220000,100
81,123,5.456667,5.456667,0.000000,0.545667,0.000000,16339,54.463333,100
82,124,5.460000,5.460000,0.000000,0.546000,0.000000,12855,42.850000,100
83,125,5.723333,5.723333,0.000000,0.572333,0.000000,18464,61.546667,100
84,126,5.573333,5.573333,0.000000,0.557333,0.000000,18198,60.660000,100
85,127,5.353333,5.353333,0.000000,0.535333,0.000000,17751,59.170000,100
86,128,5.233333,5.233333,0.000000,0.523333,0.000000,18185,60.616667,100
87,129,5.553333,5.553333,0.000000,0.555333,0.000000,17873,59.576667,100
88,130,5.513333,5.513333,0.000000,0.551333,0.000000,17599,58.663333,100
89,131,5.560000,5.560000,0.000000,0.556000,0.000000,18222,60.740000,100
90,132,5.336667,5.336667,0.000000,0.533667,0.000000,8961,29.870000,100
91,133,5.356667,5.356667,0.000000,0.535667,0.000000,18977,63.256667,100
92,134,5.316667,5.316667,0.000000,0.531667,0.000000,17501,58.336667,100
93,135,5.633333,5.633333,0.000000,0.563333,0.000000,18056,60.186667,100
94,136,5.603333,5.603333,0.000000,0.560333,0.000000,16939,56.463333,100
95,137,5.253333,5.253333,0.000000,0.525333,0.000000,18281,60.936667,100
96,138,5.450000,5.450000,0.000000,0.545000,0.000000,17908,59.693333,100
97,139,5.370000,5.370000,0.000000,0.537000,0.000000,13794,45.980000,100
98,140,5.426667,5.426667,0.000000,0.542667,0.000000,17362,57.873333,100
99,141,5.163333,5.163333,0.000000,0.516333,0.000000,17938,59.793333,100
100,142,5.213333,5.213333,0.000000,0.521333,0.000000,14921,49.736667,100
101,143,5.743333,5.743333,0.000000,0.574333,0.000000,18274,60.913333,100
102,144,5.266667,5.266667,0.000000,0.526667,0.000000,19226,64.086667,100
103,145,5.830000,5.830000,0.000000,0.583000,0.000000,19062,63.540000,100
104,146,5.493333,5.493333,0.000000,0.549333,0.000000,19484,64.946667,100
105,147,5.456667,5.456667,0.000000,0.545667,0.000000,18303,61.010000,100
106,148,5.463333,5.463333,0.000000,0.546333,0.000000,16902,56.340000,100
107,149,4.936667,4.936667,0.000000,0.493667,0.000000,255,0.850000,1
108,150,5.873333,5.873333,0.000000,0.587333,0.000000,18855,62.850000,100
109,151,5.253333,5.253333,0.000000,0.525333,0.000000,18696,62.320000,100
110,152,5.510000,5.510000,0.000000,0.551000,0.000000,18297,60.990000,100
111,153,5.526667,5.526667,0.000000,0.552667,0.000000,17471,58.236667,100
112,154,5.066667,5.066667,0.000000,0.506667,0.000000,257,0.856667,1
113,155,5.346667,5.346667,0.000000,0.534667,0.000000,16983,56.610000,100
114,156,5.433333,5.433333,0.000000,0.543333,0.000000,14248,47.493333,100
115,157,5.343333,5.343333,0.000000,0.534333,0.000000,18504,61.680000,100
116,158,5.413333,5.413333,0.000000,0.541333,0.000000,16031,53.436667,100
117,159,5.493333,5.493333,0.000000,0.549333,0.000000,18730,62.433333,100
118,160,5.736667,5.736667,0.000000,0.573667,0.000000,17630,58.766667,100
119,161,5.423333,5.423333,0.000000,0.542333,0.000000,13049,43.496667,100
120,162,4.993333,4.993333,0.000000,0.499333,0.000000,246,0.820000,1
121,163,5.510000,5.510000,0.000000,0.551000,0.000000,15869,52.896667,100
122,164,4.996667,4.996667,0.000000,0.499667,0.000000,9056,30.186667,100
123,165,5.656667,5.656667,0.000000,0.565667,0.000000,18218,60.726667,100
124,166,5.340000,5.340000,0.000000,0.534000,0.000000,18656,62.186667,100
125,167,4.920000,4.920000,0.000000,0.492000,0.000000,258,0.860000,1
126,168,5.413333,5.413333,0.000000,0.541333,0.000000,17424,58.080000,100
127,169,5.310000,5.310000,0.000000,0.531000,0.000000,17240,57.466667,100
128,170,5.126667,5.126667,0.000000,0.512667,0.000000,253,0.843333,1
129,171,5.443333,5.443333,0.000000,0.544333,0.000000,17643,58.810000,100
130,172,5.546667,5.546667,0.000000,0.554667,0.000000,16108,53.693333,100
131,173,5.520000,5.520000,0.000000,0.552000,0.000000,18832,62.773333,100
132,174,4.950000,4.950000,0.000000,0.495000,0.000000,241,0.803333,1
133,175,5.480000,5.480000,0.000000,0.548000,0.000000,17445,58.150000,100
134,176,5.456667,5.456667,0.000000,0.545667,0.000000,14546,48.486667,100
135,177,5.553333,5.553333,0.000000,0.555333,0.000000,17177,57.256667,100
136,178,5.500000,5.500000,0.000000,0.550000,0.000000,18410,61.366667,100
137,179,5.443333,5.443333,0.000000,0.544333,0.000000,15708,52.360000,100
138,180,5.376667,5.376667,0.000000,0.537667,0.000000,18179,60.596667,100
139,181,5.046667,5.046667,0.000000,0.504667,0.000000,225,0.750000,1
140,182,5.626667,5.626667,0.000000,0.562667,0.000000,15832,52.773333,100
141,183,5.110000,5.110000,0.000000,0.511000,0.000000,256,0.853333,1
142,184,5.393333,5.393333,0.000000,0.539333,0.000000,18859,62.863333,100
143,185,5.246667,5.246667,0.000000,0.524667,0.000000,16152,53.840000,100
144,186,5.503333,5.503333,0.000000,0.550333,0.000000,15941,53.136667,100
145,187,5.253333,5.253333,0.000000,0.525333,0.000000,17129,57.096667,100
146,188,4.946667,4.946667,0.000000,0.494667,0.000000,253,0.843333,1
147,189,5.640000,5.640000,0.000000,0.564000,0.000000,17460,58.200000,100
148,190,5.590000,5.590000,0.000000,0.559000,0.000000,18186,60.620000,100
149,191,5.286667,5.286667,0.000000,0.528667,0.000000,17533,58.443333,100
150,192,5.570000,5.570000,0.000000,0.557000,0.000000,17717,59.056667,100
151,193,4.800000,4.800000,0.000000,0.480000,0.000000,258,0.860000,1
152,194,5.493333,5.493333,0.000000,0.549333,0.000000,15684,52.280000,100
153,195,5.306667,5.306667,0.000000,0.530667,0.000000,12049,40.163333,100
154,196,5.400000,5.400000,0.000000,0.540000,0.000000,17961,59.870000,100
155,197,5.313333,5.313333,0.000000,0.531333,0.000000,17851,59.503333,100
156,198,5.623333,5.623333,0.000000,0.562333,0.000000,17338,57.793333,100
157,199,5.650000,5.650000,0.000000,0.565000,0.000000,17986,59.953333,100
158,200,5.456667,5.456667,0.000000,0.545667,0.000000,17500,58.333333,100
159,201,5.440000,5.440000,0.000000,0.544000,0.000000,15715,52.383333,100
160,202,5.123333,5.123333,0.000000,0.512333,0.000000,17599,58.663333,100
161,203,5.566667,5.566667,0.000000,0.556667,0.000000,18860,62.866667,100
162,204,5.316667,5.316667,0.000000,0.531667,0.000000,8468,28.226667,100
163,205,5.250000,5.250000,0.000000,0.525000,0.000000,16541,55.136667,100
164,206,5.280000,5.280000,0.000000,0.528000,0.000000,16233,54.110000,100
165,207,5.453333,5.453333,0.000000,0.545333,0.000000,17139,57.130000,100
166,208,5.366667,5.366667,0.000000,0.536667,0.000000,19176,63.920000,100
167,209,5.503333,5.503333,0.000000,0.550333,0.000000,17837,59.456667,100
168,210,5.260000,5.260000,0.000000,0.526000,0.000000,17983,59.943333,100
