step,avg_utility_mean,avg_utility_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,utility_direct_mean,utility_direct_ci
1,4.991933,0.012382,300.000000,0.000000,248.030000,1.204698,4.991933,0.012382
2,4.986350,0.011488,300.000000,0.000000,169.890000,9.198671,4.986350,0.011488
3,5.940417,0.077532,300.000000,0.000000,167.200000,8.543137,5.940417,0.077532
4,5.150567,0.016709,300.000000,0.000000,148.255000,8.378644,5.150567,0.016709
5,6.048267,0.074935,300.000000,0.000000,151.920000,8.164506,6.048267,0.074935
6,5.198817,0.019416,300.000000,0.000000,145.595000,8.275271,5.198817,0.019416
7,6.057750,0.076120,300.000000,0.000000,150.175000,8.221410,6.057750,0.076120
8,5.221233,0.019726,300.000000,0.000000,145.395000,8.231647,5.221233,0.019726
9,6.051850,0.076592,300.000000,0.000000,148.465000,8.187616,6.051850,0.076592
10,5.242617,0.021027,300.000000,0.000000,143.615000,8.180797,5.242617,0.021027
11,6.054467,0.077185,300.000000,0.000000,148.090000,8.276940,6.054467,0.077185
12,5.248967,0.021444,300.000000,0.000000,146.045000,8.374095,5.248967,0.021444
13,6.035283,0.078349,300.000000,0.000000,148.815000,8.323431,6.035283,0.078349
14,5.260017,0.021713,300.000000,0.000000,144.920000,8.190721,5.260017,0.021713
15,6.033283,0.078465,300.000000,0.000000,147.755000,8.311495,6.033283,0.078465
16,5.273333,0.023652,300.000000,0.000000,145.765000,8.326700,5.273333,0.023652
17,6.025717,0.078887,300.000000,0.000000,148.205000,8.322402,6.025717,0.078887
18,5.280633,0.023967,300.000000,0.000000,143.410000,8.187313,5.280633,0.023967
19,6.031333,0.078706,300.000000,0.000000,147.500000,8.369676,6.031333,0.078706
20,5.285233,0.023878,300.000000,0.000000,143.550000,8.256876,5.285233,0.023878
21,6.031033,0.078979,300.000000,0.000000,146.115000,8.279913,6.031033,0.078979
22,5.293133,0.024764,300.000000,0.000000,144.330000,8.323142,5.293133,0.024764
23,6.025117,0.079638,300.000000,0.000000,146.115000,8.353621,6.025117,0.079638
24,5.299517,0.024301,300.000000,0.000000,144.265000,8.329962,5.299517,0.024301
25,6.012750,0.080864,300.000000,0.000000,147.315000,8.318739,6.012750,0.080864
26,5.299783,0.023671,300.000000,0.000000,147.990000,8.373262,5.299783,0.023671
27,5.982233,0.081623,300.000000,0.000000,149.620000,8.377095,5.982233,0.081623
28,5.307900,0.025426,300.000000,0.000000,144.790000,8.236344,5.307900,0.025426
