Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,5.397350,0.212025,5.367965,5.426735,5.425000,4.800000,6.173333,200
avg_utility_mainstream,5.397350,0.212025,5.367965,5.426735,5.425000,4.800000,6.173333,200
avg_utility_gov_direct,5.397350,0.212025,5.367965,5.426735,5.425000,4.800000,6.173333,200
avg_utility_mainstream_direct,5.397350,0.212025,5.367965,5.426735,5.425000,4.800000,6.173333,200
norm_utility_mainstream,0.539735,0.021202,0.536796,0.542674,0.542500,0.480000,0.617333,200
total_relocations,15310.790000,5509.913154,14547.154997,16074.425003,17500.500000,225.000000,19484.000000,200
avg_relocations_per_community,51.035967,18.366377,48.490517,53.581417,58.335000,0.750000,64.946667,200
settling_time_90pct,89.235000,30.746161,84.973800,93.496200,100.000000,1.000000,100.000000,200
final_count_direct,300.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,200
final_proportion_direct,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,200
final_count_mainstream_direct,300.000000,0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,200
convergence_settling_step,99.710000,,,,,,,
convergence_pattern_mode,OSCILLATING,,,,,,,
