iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.566667,6.566667,0.000000,0.656667,0.000000,23901,79.670000,100
1,43,6.620000,6.620000,0.000000,0.662000,0.000000,24102,80.340000,100
2,44,6.703333,6.703333,0.000000,0.670333,0.000000,23474,78.246667,100
3,45,6.450000,6.450000,0.000000,0.645000,0.000000,23860,79.533333,100
4,46,6.706667,6.706667,0.000000,0.670667,0.000000,23812,79.373333,100
5,47,6.663333,6.663333,0.000000,0.666333,0.000000,23875,79.583333,100
6,48,6.673333,6.673333,0.000000,0.667333,0.000000,23984,79.946667,100
7,49,6.660000,6.660000,0.000000,0.666000,0.000000,23840,79.466667,100
8,50,6.663333,6.663333,0.000000,0.666333,0.000000,24011,80.036667,100
9,51,6.703333,6.703333,0.000000,0.670333,0.000000,23812,79.373333,100
10,52,6.680000,6.680000,0.000000,0.668000,0.000000,23807,79.356667,100
11,53,6.723333,6.723333,0.000000,0.672333,0.000000,24427,81.423333,100
12,54,6.723333,6.723333,0.000000,0.672333,0.000000,23897,79.656667,100
13,55,6.600000,6.600000,0.000000,0.660000,0.000000,23743,79.143333,100
14,56,6.656667,6.656667,0.000000,0.665667,0.000000,23911,79.703333,100
15,57,6.580000,6.580000,0.000000,0.658000,0.000000,24146,80.486667,100
16,58,6.566667,6.566667,0.000000,0.656667,0.000000,24223,80.743333,100
17,59,6.486667,6.486667,0.000000,0.648667,0.000000,24288,80.960000,100
18,60,6.600000,6.600000,0.000000,0.660000,0.000000,24043,80.143333,100
19,61,6.730000,6.730000,0.000000,0.673000,0.000000,23752,79.173333,100
20,62,6.760000,6.760000,0.000000,0.676000,0.000000,24269,80.896667,100
21,63,6.783333,6.783333,0.000000,0.678333,0.000000,24010,80.033333,100
22,64,6.436667,6.436667,0.000000,0.643667,0.000000,24427,81.423333,100
23,65,6.690000,6.690000,0.000000,0.669000,0.000000,24130,80.433333,100
24,66,6.683333,6.683333,0.000000,0.668333,0.000000,24166,80.553333,100
