step,avg_utility,avg_utility_ci,n_relocations,n_relocations_ci,utility_algorithmic,utility_algorithmic_ci,utility_coalition,utility_coalition_ci,utility_direct,utility_direct_ci
1,5.570317,0.010473,246.25,0.91,5.486366,0.014993,5.864714,0.039128,5.650370,0.036166
2,6.060833,0.020930,218.85,1.70,6.087538,0.023123,6.001931,0.041452,6.030049,0.057203
3,6.348983,0.018467,200.03,1.91,6.330456,0.022352,6.199684,0.035711,6.835206,0.053294
4,6.359400,0.018900,199.57,2.02,6.326675,0.022240,6.207367,0.034493,6.918672,0.049216
5,6.379500,0.017755,197.90,1.85,6.331531,0.021291,6.225415,0.037749,6.999783,0.047560
6,6.403033,0.019875,195.97,2.07,6.371548,0.023414,6.218598,0.040245,7.003686,0.054562
7,6.387533,0.019788,196.94,1.95,6.335754,0.022058,6.248393,0.036850,7.015290,0.049095
8,6.390250,0.018732,197.90,1.88,6.344065,0.022107,6.226396,0.036764,7.034033,0.052581
9,6.394733,0.018331,197.21,1.93,6.352746,0.021249,6.237678,0.038068,7.006834,0.050262
10,6.389450,0.018001,197.20,1.90,6.350878,0.020221,6.202395,0.037940,7.013162,0.052306
11,6.382750,0.019452,196.81,1.97,6.337897,0.023256,6.181786,0.037520,7.084548,0.051101
12,6.399017,0.019344,195.54,1.88,6.355370,0.022480,6.230672,0.038399,7.036781,0.052754
13,6.401633,0.018569,195.60,1.91,6.361260,0.021318,6.196561,0.035650,7.055303,0.052806
14,6.386433,0.020343,198.43,1.97,6.339824,0.022895,6.224498,0.039327,7.006638,0.049704
15,6.400267,0.019805,196.37,2.07,6.365089,0.022878,6.203365,0.036079,7.017767,0.049852
16,6.390483,0.017601,198.29,1.65,6.353871,0.020993,6.194899,0.035597,6.990358,0.048438
17,6.399317,0.018347,197.19,2.00,6.345265,0.022278,6.249471,0.034359,7.061294,0.049139
18,6.395650,0.019635,197.72,1.99,6.346100,0.023318,6.227469,0.038878,7.069933,0.049564
19,6.379767,0.020940,197.38,1.92,6.335825,0.025407,6.199995,0.037093,7.029948,0.048915
20,6.387933,0.018529,195.85,1.89,6.335712,0.021615,6.216494,0.037230,7.029570,0.049985
21,6.411883,0.019672,196.22,1.91,6.365765,0.022709,6.233325,0.038330,7.066184,0.049912
22,6.388267,0.017852,198.11,1.77,6.348384,0.021200,6.205950,0.037195,6.989594,0.052628
23,6.411000,0.020034,197.15,1.91,6.368953,0.023726,6.231907,0.036772,7.057758,0.053649
24,6.398467,0.020363,195.97,2.11,6.356364,0.024276,6.215886,0.037468,7.033533,0.053167
25,6.397817,0.018980,197.88,1.91,6.355375,0.023309,6.209873,0.033711,7.036754,0.051685
