step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.570317,0.010473,201.550000,1.381797,51.050000,1.158615,47.400000,1.042889,246.255000,0.912683,5.486366,0.014993,5.864714,0.039128,5.650370,0.036166
2,6.060833,0.020930,219.130000,1.629480,54.995000,1.408142,25.875000,1.093397,218.855000,1.700046,6.087538,0.023123,6.001931,0.041452,6.030049,0.057203
3,6.348983,0.018467,216.580000,1.631140,54.285000,1.354396,29.135000,1.124448,200.025000,1.912414,6.330456,0.022352,6.199684,0.035711,6.835206,0.053294
4,6.359400,0.018900,214.925000,1.587694,54.535000,1.258919,30.540000,1.145468,199.575000,2.019972,6.326675,0.022240,6.207367,0.034493,6.918672,0.049216
5,6.379500,0.017755,214.685000,1.563535,53.470000,1.417734,31.845000,1.118632,197.900000,1.853440,6.331531,0.021291,6.225415,0.037749,6.999783,0.047560
6,6.403033,0.019875,212.660000,1.866592,54.885000,1.479714,32.455000,1.277408,195.970000,2.067833,6.371548,0.023414,6.218598,0.040245,7.003686,0.054562
7,6.387533,0.019788,213.715000,1.796927,54.375000,1.485070,31.910000,1.088731,196.935000,1.946612,6.335754,0.022058,6.248393,0.036850,7.015290,0.049095
8,6.390250,0.018732,214.805000,1.585185,53.325000,1.242641,31.870000,1.271008,197.895000,1.882244,6.344065,0.022107,6.226396,0.036764,7.034033,0.052581
9,6.394733,0.018331,214.640000,1.617513,53.140000,1.317524,32.220000,1.261545,197.205000,1.934237,6.352746,0.021249,6.237678,0.038068,7.006834,0.050262
10,6.389450,0.018001,212.860000,1.750104,54.255000,1.429402,32.885000,1.177819,197.200000,1.903285,6.350878,0.020221,6.202395,0.037940,7.013162,0.052306
11,6.382750,0.019452,214.160000,1.701297,54.020000,1.251081,31.820000,1.205327,196.805000,1.965002,6.337897,0.023256,6.181786,0.037520,7.084548,0.051101
12,6.399017,0.019344,212.760000,1.730090,54.295000,1.474069,32.945000,1.283018,195.545000,1.880469,6.355370,0.022480,6.230672,0.038399,7.036781,0.052754
13,6.401633,0.018569,213.245000,1.837934,54.310000,1.377784,32.445000,1.231151,195.605000,1.909962,6.361260,0.021318,6.196561,0.035650,7.055303,0.052806
14,6.386433,0.020343,212.945000,1.677688,54.185000,1.346369,32.870000,1.267053,198.430000,1.971221,6.339824,0.022895,6.224498,0.039327,7.006638,0.049704
15,6.400267,0.019805,213.460000,1.827577,53.915000,1.452298,32.625000,1.232228,196.370000,2.066264,6.365089,0.022878,6.203365,0.036079,7.017767,0.049852
16,6.390483,0.017601,211.105000,1.777214,54.720000,1.383431,34.175000,1.241592,198.295000,1.646714,6.353871,0.020993,6.194899,0.035597,6.990358,0.048438
17,6.399317,0.018347,213.875000,1.609071,54.065000,1.364103,32.060000,1.204756,197.185000,1.995485,6.345265,0.022278,6.249471,0.034359,7.061294,0.049139
18,6.395650,0.019635,214.270000,1.533248,53.500000,1.208784,32.230000,1.197207,197.715000,1.987259,6.346100,0.023318,6.227469,0.038878,7.069933,0.049564
19,6.379767,0.020940,213.695000,1.763354,54.430000,1.280255,31.875000,1.272346,197.380000,1.920830,6.335825,0.025407,6.199995,0.037093,7.029948,0.048915
20,6.387933,0.018529,211.995000,1.765285,54.400000,1.348799,33.605000,1.184497,195.850000,1.894173,6.335712,0.021615,6.216494,0.037230,7.029570,0.049985
21,6.411883,0.019672,214.115000,1.679297,53.310000,1.343377,32.575000,1.242991,196.215000,1.914454,6.365765,0.022709,6.233325,0.038330,7.066184,0.049912
22,6.388267,0.017852,211.460000,1.795824,54.420000,1.407310,34.120000,1.273834,198.110000,1.771469,6.348384,0.021200,6.205950,0.037195,6.989594,0.052628
23,6.411000,0.020034,212.290000,1.668307,55.545000,1.356491,32.165000,1.265259,197.145000,1.906194,6.368953,0.023726,6.231907,0.036772,7.057758,0.053649
24,6.398467,0.020363,211.195000,1.755372,55.045000,1.413533,33.760000,1.250562,195.965000,2.114154,6.356364,0.024276,6.215886,0.037468,7.033533,0.053167
25,6.397817,0.018980,211.995000,1.750846,54.825000,1.328352,33.180000,1.377880,197.880000,1.907012,6.355375,0.023309,6.209873,0.033711,7.036754,0.051685
26,6.391000,0.017605,212.775000,1.808175,54.105000,1.355324,33.120000,1.287176,197.755000,1.808926,6.344898,0.021305,6.212672,0.036465,7.031585,0.047347
27,6.383583,0.019325,212.980000,1.721293,54.025000,1.367380,32.995000,1.283567,197.085000,2.068574,6.336101,0.020622,6.191218,0.038208,7.054688,0.046330
28,6.397350,0.019176,212.545000,1.749539,54.110000,1.243328,33.345000,1.262955,197.375000,1.881015,6.343718,0.023017,6.232307,0.036166,7.055880,0.049746
29,6.390033,0.019651,212.500000,1.831121,54.350000,1.380748,33.150000,1.306985,196.590000,2.036379,6.350325,0.023744,6.206155,0.036453,7.011548,0.051379
30,6.396250,0.017963,213.755000,1.629668,53.095000,1.318590,33.150000,1.203803,197.935000,1.903999,6.348150,0.020612,6.226621,0.037743,7.037223,0.053268
31,6.405983,0.019676,212.795000,1.701800,54.010000,1.320082,33.195000,1.247352,196.325000,1.913045,6.367130,0.022286,6.207593,0.040735,7.049932,0.050990
32,6.373517,0.020345,214.030000,1.686909,53.250000,1.259293,32.720000,1.239236,199.310000,1.909532,6.322137,0.023367,6.203642,0.037249,7.040696,0.047075
