Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.416967,0.128504,6.399157,6.434776,6.418333,6.023333,6.760000,200
avg_utility_mainstream,6.416967,0.128504,6.399157,6.434776,6.418333,6.023333,6.760000,200
avg_utility_gov_algorithmic,6.367712,0.153176,6.346483,6.388941,6.369275,5.793427,6.719457,200
avg_utility_gov_coalition,6.247574,0.266212,6.210679,6.284469,6.263654,5.531915,6.893617,200
avg_utility_gov_direct,7.053994,0.339697,7.006915,7.101074,7.059715,6.083333,7.935484,200
avg_utility_mainstream_algorithmic,6.367712,0.153176,6.346483,6.388941,6.369275,5.793427,6.719457,200
avg_utility_mainstream_coalition,6.247574,0.266212,6.210679,6.284469,6.263654,5.531915,6.893617,200
avg_utility_mainstream_direct,7.053994,0.339697,7.006915,7.101074,7.059715,6.083333,7.935484,200
norm_utility_mainstream,0.641697,0.012850,0.639916,0.643478,0.641833,0.602333,0.676000,200
total_relocations,19800.655000,247.417589,19766.364672,19834.945328,19816.500000,19097.000000,20424.000000,200
avg_relocations_per_community,66.002183,0.824725,65.887882,66.116484,66.055000,63.656667,68.080000,200
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,200
final_count_algorithmic,213.785000,12.588931,212.040263,215.529737,214.000000,172.000000,244.000000,200
final_proportion_algorithmic,0.712617,0.041963,0.706801,0.718432,0.713333,0.573333,0.813333,200
final_count_coalition,53.010000,9.734150,51.660916,54.359084,53.000000,31.000000,86.000000,200
final_proportion_coalition,0.176700,0.032447,0.172203,0.181197,0.176667,0.103333,0.286667,200
final_count_direct,33.205000,9.116387,31.941533,34.468467,33.000000,15.000000,65.000000,200
final_proportion_direct,0.110683,0.030388,0.106472,0.114895,0.110000,0.050000,0.216667,200
final_count_mainstream_algorithmic,213.785000,12.588931,212.040263,215.529737,214.000000,172.000000,244.000000,200
final_count_mainstream_coalition,53.010000,9.734150,51.660916,54.359084,53.000000,31.000000,86.000000,200
final_count_mainstream_direct,33.205000,9.116387,31.941533,34.468467,33.000000,15.000000,65.000000,200
convergence_settling_step,99.585000,,,,,,,
convergence_pattern_mode,STILL_CLIMBING,,,,,,,
