config_name,n_platforms,rho_e,alpha,burst_rate,burst_size_mean,burst_size_median,burst_size_sd,interval_mean,interval_median,escalation_mean_slope,escalation_p_value,escalation_fraction_positive,n_platform_iterations,class_active,class_quiet,class_raiding_stable,class_enclave,class_raiding_base
exp2_np27_rho005_alpha10,27,0.05,10.0,0.4216666666666667,15.224106913389875,14.0,4.483863635662836,22.727578475336323,18.0,0.5232218113012808,2.352359265133734e-05,0.6048565121412803,5400,0.20277777777777778,0.5783333333333334,0.047592592592592596,0.08222222222222222,0.08907407407407407
exp2_np27_rho005_alpha2,27,0.05,2.0,0.6066666666666667,18.203367782033677,18.0,5.689263249681825,15.351935788479699,11.0,0.018942524014167832,0.6734838621806478,0.4919278252611586,5400,0.11925925925925926,0.3933333333333333,0.28444444444444444,0.06,0.14296296296296296
exp2_np27_rho005_alpha5,27,0.05,5.0,0.5624074074074074,17.192965154503614,16.0,5.449073701479502,18.476484947111473,14.0,0.27842132714179896,5.302159407503633e-06,0.5590551181102362,5400,0.15,0.4375925925925926,0.18,0.0737037037037037,0.1587037037037037
exp2_np27_rho010_alpha10,27,0.1,10.0,0.6201851851851852,25.444194419441946,22.0,12.060027520481407,16.16324486730095,12.0,0.8931114319045348,9.24826584118996e-17,0.5899347623485555,5400,0.0512962962962963,0.3798148148148148,0.2487037037037037,0.11037037037037037,0.20981481481481482
exp2_np27_rho010_alpha2,27,0.1,2.0,0.6616666666666666,28.426604323953327,24.0,13.771529714310653,10.98338651674011,7.0,-0.008341001566473384,0.923764757653337,0.5123318385650224,5400,0.04574074074074074,0.3383333333333333,0.3781481481481481,0.08092592592592593,0.15685185185185185
exp2_np27_rho010_alpha5,27,0.1,5.0,0.6422222222222222,27.546658056183404,24.0,13.278738808181155,13.060375611691574,9.0,0.3647482692902055,0.00011520493211997863,0.5394736842105263,5400,0.0487037037037037,0.35777777777777775,0.33055555555555555,0.08351851851851852,0.17944444444444443
exp2_np27_rho015_alpha10,27,0.15,10.0,0.6453703703703704,36.26284232701345,31.0,19.970817908004936,13.368063872255489,10.0,1.3945047749874617,8.23330493540547e-25,0.5983670295489891,5400,0.025,0.35462962962962963,0.31296296296296294,0.09314814814814815,0.21425925925925926
exp2_np27_rho015_alpha2,27,0.15,2.0,0.6777777777777778,39.472259557945044,33.0,21.65562887022641,10.284182305630027,7.0,0.23977839301229906,0.06933864253339106,0.5232053422370617,5400,0.020555555555555556,0.32222222222222224,0.4122222222222222,0.07351851851851852,0.17148148148148148
exp2_np27_rho015_alpha5,27,0.15,5.0,0.6605555555555556,38.65457297297297,33.0,21.1937164604632,11.466871165644172,8.0,0.6388406879416663,9.685781947648272e-07,0.5574120156416636,5400,0.02185185185185185,0.33944444444444444,0.3787037037037037,0.07833333333333334,0.18166666666666667
exp2_np3_rho005_alpha10,3,0.05,10.0,0.16333333333333333,12.363636363636363,11.0,3.6350183040118145,14.0,14.0,,,,600,0.005,0.8366666666666667,,0.15666666666666668,0.0016666666666666668
