config_name,n_platforms,rho_e,alpha,n_iterations_with_events,total_events,destination_algorithmic_mean,destination_coalition_mean,mainstream_util_delta_mean,mainstream_util_delta_sd,mainstream_util_delta_negative_frac,burst_displacement_corr_mean
exp2_np27_rho005_alpha10,27,0.05,10.0,194,3343,0.48622875386293396,0.513771246137066,0.013193829755585064,0.02320832205770295,0.23711340206185566,-0.014490787230360236
exp2_np27_rho005_alpha2,27,0.05,2.0,200,13356,0.5146814824298954,0.48531851757010463,0.026940562790777233,0.01497216222152267,0.025,-0.01033341113285597
exp2_np27_rho005_alpha5,27,0.05,5.0,200,8590,0.5038488896596404,0.4961511103403597,0.016162015651160724,0.01572654496713234,0.135,-0.07536542440034037
exp2_np27_rho010_alpha10,27,0.1,10.0,200,12510,0.506700204478875,0.4932997955211249,0.030610605922818456,0.014223328961075915,0.02,-0.047285459763647925
exp2_np27_rho010_alpha2,27,0.1,2.0,200,22674,0.5080529643542332,0.49194703564576686,0.027174056258987972,0.011208727043406825,0.01,0.00697654313657594
exp2_np27_rho010_alpha5,27,0.1,5.0,200,17916,0.5183416174419573,0.4816583825580427,0.030460000291584848,0.013059936370762724,0.0,-0.04599648813682399
exp2_np27_rho015_alpha10,27,0.15,10.0,200,17797,0.5222765239632856,0.47772347603671433,0.050320308611750714,0.017624058477489494,0.0,-0.06094082987741947
exp2_np27_rho015_alpha2,27,0.15,2.0,200,26238,0.5083144001255484,0.4916855998744515,0.028611081431093546,0.011471400687079523,0.005,0.012565942852676733
exp2_np27_rho015_alpha5,27,0.15,5.0,200,22506,0.5150093509455066,0.48499064905449346,0.03609103314991704,0.013747496064223779,0.005,-0.02111036443254406
exp2_np3_rho005_alpha10,3,0.05,10.0,3,5,0.8888888888888888,0.1111111111111111,-0.049779002263156895,0.08277294500953856,1.0,-0.6273677239687929
exp2_np3_rho005_alpha2,3,0.05,2.0,200,2649,0.48896121753203803,0.511038782467962,0.02563679135414798,0.03839157479774129,0.255,-0.6104147120497769
exp2_np3_rho005_alpha5,3,0.05,5.0,169,506,0.5155489809335964,0.48445101906640364,0.0805153055393183,0.13574118979899866,0.2781065088757396,-0.5058155097468474
exp2_np3_rho010_alpha10,3,0.1,10.0,102,524,0.4499664007016948,0.5500335992983052,0.08770224606790517,0.11235951892910476,0.21568627450980393,-0.1675203889882117
exp2_np3_rho010_alpha2,3,0.1,2.0,200,3753,0.4609480207637037,0.5390519792362963,0.035045917938426784,0.039022971395754065,0.195,-0.7366164876468992
exp2_np3_rho010_alpha5,3,0.1,5.0,200,2129,0.4940601914425444,0.5059398085574556,0.09451995289172511,0.07286616711911117,0.08,-0.6517825168477706
exp2_np3_rho015_alpha10,3,0.15,10.0,185,1355,0.47654228654228653,0.5234577134577134,0.12134868297480698,0.10305111026075207,0.07567567567567568,-0.33397562921425855
exp2_np3_rho015_alpha2,3,0.15,2.0,200,4439,0.4874863261700908,0.5125136738299091,0.03060221090954279,0.03327102095394741,0.17,-0.6574515005198337
exp2_np3_rho015_alpha5,3,0.15,5.0,200,3025,0.47999548593821045,0.5200045140617895,0.05455215082102223,0.0555810792930133,0.17,-0.6238050180454712
exp2_np9_rho005_alpha10,9,0.05,10.0,122,638,0.5026540178721953,0.4973459821278047,0.006741145576591795,0.04950391576906671,0.4180327868852459,-0.152160687492075
exp2_np9_rho005_alpha2,9,0.05,2.0,200,8966,0.4993903504245551,0.500609649575445,0.02305916784541438,0.017788825630617254,0.1,-0.05720256825671031
exp2_np9_rho005_alpha5,9,0.05,5.0,200,4205,0.49283148626580997,0.50716851373419,0.012199326462939752,0.0258505130752151,0.325,-0.07350192259858261
exp2_np9_rho010_alpha10,9,0.1,10.0,200,4860,0.4766149525220541,0.5233850474779459,0.024259957981969987,0.0234813341670518,0.17,-0.12286816678684008
exp2_np9_rho010_alpha2,9,0.1,2.0,200,13170,0.5072611822886259,0.49273881771137396,0.02618164633355744,0.014973780260478716,0.02,-0.04467734460974744
exp2_np9_rho010_alpha5,9,0.1,5.0,200,8768,0.4969113328533394,0.5030886671466606,0.030913772908004917,0.02024770716661441,0.055,-0.158151029964305
exp2_np9_rho015_alpha10,9,0.15,10.0,200,7354,0.5093335958479378,0.4906664041520623,0.0671666984291981,0.03841536279419102,0.01,-0.2729156358558626
exp2_np9_rho015_alpha2,9,0.15,2.0,200,14934,0.5027764172294716,0.4972235827705284,0.03076814704105467,0.015890467362059655,0.02,-0.028233096208320232
exp2_np9_rho015_alpha5,9,0.15,5.0,200,10829,0.5129863690376467,0.4870136309623533,0.04837729913760197,0.02437609799990982,0.015,-0.20159054242541438
