config_name,n_platforms,rho_e,alpha,settling_step_mean,settling_step_sd,mean_homogeneity,mean_homogeneity_sd,fraction_disrupted,mean_recovery_steps
exp2_np27_rho005_alpha10,27,0.05,10.0,25.250654761904762,8.729031775060742,0.9498552587846205,0.010035592236594507,0.6827777777777777,1.5090001884770046
exp2_np27_rho005_alpha2,27,0.05,2.0,3.4444444444444446,1.416273853205009,0.9886543818729088,0.0020947081363853234,0.9105555555555556,1.1730357749623803
exp2_np27_rho005_alpha5,27,0.05,5.0,7.278333333333332,2.3796810716156105,0.9827393221254056,0.003979781633825791,0.87,1.4089104179136336
exp2_np27_rho010_alpha10,27,0.1,10.0,27.100882936507936,7.3287241873317255,0.9523980157675382,0.010545439583470739,0.7183333333333334,1.6181704754417647
exp2_np27_rho010_alpha2,27,0.1,2.0,3.9722222222222223,1.4468154744336306,0.9888570496323011,0.002323865018640901,0.9100000000000001,1.153620788593215
exp2_np27_rho010_alpha5,27,0.1,5.0,8.078333333333333,2.194093258302995,0.9826461001757586,0.0036255668823713676,0.8894444444444446,1.4233615506200197
exp2_np27_rho015_alpha10,27,0.15,10.0,22.87440476190476,5.956518476381941,0.9583465363221358,0.00873247016781794,0.7527777777777778,1.5729794759685343
exp2_np27_rho015_alpha2,27,0.15,2.0,3.793888888888889,1.3062291406568889,0.9895674343257974,0.0021391582952645033,0.8927777777777779,1.1522821166656783
exp2_np27_rho015_alpha5,27,0.15,5.0,7.078888888888888,1.9250356215025222,0.9842680989001075,0.0028891121262341543,0.8705555555555555,1.3696583724165508
exp2_np3_rho005_alpha10,3,0.05,10.0,27.414285714285715,26.316079207296827,0.9165367326903316,0.025175981260771575,0.34,1.4110471120726535
exp2_np3_rho005_alpha2,3,0.05,2.0,17.955,20.70450088227001,0.9434247935285686,0.01635110102586684,0.96,1.580578951362499
exp2_np3_rho005_alpha5,3,0.05,5.0,25.870786516853933,24.738636961237983,0.9185401110892026,0.03840306413948631,0.76,1.817545608593843
exp2_np3_rho010_alpha10,3,0.1,10.0,55.125,18.958182887943096,0.8078764738802385,0.05200938143950028,0.27,4.440246031746032
exp2_np3_rho010_alpha2,3,0.1,2.0,21.47179487179487,21.134643821040413,0.8950545035708553,0.03289555439693342,0.965,2.192389965953845
exp2_np3_rho010_alpha5,3,0.1,5.0,30.80327868852459,22.50212664342753,0.856686000431988,0.045494709878947694,0.88,3.0989862774404497
exp2_np3_rho015_alpha10,3,0.15,10.0,48.46938775510204,22.47778389434045,0.797045642490201,0.060063777824325745,0.635,5.966341066341067
exp2_np3_rho015_alpha2,3,0.15,2.0,23.047619047619047,19.08806180164621,0.8847884878057031,0.029637807921130604,0.945,2.85072313915399
exp2_np3_rho015_alpha5,3,0.15,5.0,28.27319587628866,19.56767459907589,0.8629076249447875,0.03754654906505257,0.96,4.230076327181591
exp2_np9_rho005_alpha10,9,0.05,10.0,27.88917525773196,22.81919756344374,0.9251396156665763,0.0169484476106574,0.5,1.4928614548797974
exp2_np9_rho005_alpha2,9,0.05,2.0,5.755,3.782394418577793,0.9754364105080268,0.006723595097439903,0.9766666666666666,1.313939346503449
exp2_np9_rho005_alpha5,9,0.05,5.0,10.871666666666668,5.919870437488469,0.967449899474494,0.010676088758049075,0.905,1.6846877564814369
exp2_np9_rho010_alpha10,9,0.1,10.0,37.63666666666667,13.684669272132979,0.9247497244658784,0.018249116830273197,0.735,2.060708309336213
exp2_np9_rho010_alpha2,9,0.1,2.0,7.323333333333332,4.217020363738522,0.970754361367407,0.0065490536812363685,0.9883333333333333,1.399837265573306
exp2_np9_rho010_alpha5,9,0.1,5.0,12.05,5.260574684178228,0.9632717159988505,0.008336578173854775,0.965,1.8482925804354373
exp2_np9_rho015_alpha10,9,0.15,10.0,25.384166666666665,9.792275774917593,0.9388083936825867,0.015678112184688547,0.8916666666666666,2.182397432113341
exp2_np9_rho015_alpha2,9,0.15,2.0,8.073333333333334,4.517249030675284,0.9710511851824194,0.007007453140979176,0.995,1.456550887591156
exp2_np9_rho015_alpha5,9,0.15,5.0,10.573333333333332,4.744053258311885,0.965866442517455,0.008192229623038704,0.975,1.8189854656722126
