iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.501939,5.861658,12.264462,0.586166,0.613223,61931,68.812222,100
1,43,6.544444,5.705442,14.095469,0.570544,0.704773,60140,66.822222,100
2,44,6.084444,5.523756,11.130639,0.552376,0.556532,61091,67.878889,100
3,45,6.431887,5.807610,12.050379,0.580761,0.602519,61012,67.791111,100
4,46,6.368889,5.700755,12.382091,0.570076,0.619105,61502,68.335556,100
5,47,6.408037,5.855680,11.379241,0.585568,0.568962,62109,69.010000,100
6,48,6.246667,5.589395,12.162114,0.558939,0.608106,61368,68.186667,100
7,49,6.541111,5.991787,11.485031,0.599179,0.574252,61343,68.158889,100
8,50,6.446931,5.684020,13.313131,0.568402,0.665657,62314,69.237778,100
9,51,6.354196,5.626171,12.906427,0.562617,0.645321,60430,67.144444,100
10,52,6.623939,6.048537,11.802561,0.604854,0.590128,61331,68.145556,100
11,53,6.652222,5.944684,13.020068,0.594468,0.651003,61221,68.023333,100
12,54,6.367204,5.854858,10.978320,0.585486,0.548916,60651,67.390000,100
13,55,6.408889,5.817920,11.727612,0.581792,0.586381,61133,67.925556,100
14,56,6.424444,5.708035,12.872130,0.570803,0.643606,61458,68.286667,100
15,57,6.610000,6.005429,12.051140,0.600543,0.602557,61183,67.981111,100
16,58,6.504444,5.864190,12.266734,0.586419,0.613337,60942,67.713333,100
17,59,6.492222,5.849640,12.275460,0.584964,0.613773,60579,67.310000,100
18,60,6.425278,5.724245,12.734575,0.572424,0.636729,61747,68.607778,100
19,61,6.416667,5.871196,11.325904,0.587120,0.566295,61094,67.882222,100
20,62,6.458482,5.712839,13.169271,0.571284,0.658464,61228,68.031111,100
21,63,6.483681,5.731842,13.250228,0.573184,0.662511,60664,67.404444,100
22,64,6.453333,5.930428,11.159485,0.593043,0.557974,61101,67.890000,100
23,65,6.285370,5.663256,11.884396,0.566326,0.594220,60315,67.016667,100
24,66,6.268966,5.665357,11.701443,0.566536,0.585072,61291,68.101111,100
25,67,6.385330,5.752569,12.080175,0.575257,0.604009,60595,67.327778,100
26,68,6.464032,5.789844,12.531726,0.578984,0.626586,61981,68.867778,100
27,69,6.671111,6.053708,12.227737,0.605371,0.611387,61383,68.203333,100
28,70,6.211270,5.517270,12.457273,0.551727,0.622864,61573,68.414444,100
29,71,6.553333,5.867068,12.729723,0.586707,0.636486,61047,67.830000,100
30,72,6.080174,5.433947,11.896216,0.543395,0.594811,61839,68.710000,100
31,73,6.446667,5.836653,11.936788,0.583665,0.596839,61434,68.260000,100
32,74,6.570000,5.996168,11.734491,0.599617,0.586725,61080,67.866667,100
33,75,6.575556,5.923601,12.443150,0.592360,0.622157,61866,68.740000,100
34,76,6.734015,6.012278,13.229643,0.601228,0.661482,61385,68.205556,100
35,77,6.349091,5.666173,12.495353,0.566617,0.624768,61611,68.456667,100
36,78,6.404300,5.845839,11.430445,0.584584,0.571522,60459,67.176667,100
37,79,6.617778,6.126805,11.036534,0.612680,0.551827,61317,68.130000,100
