step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.435976,0.008726,588.865000,3.485077,158.310000,2.760427,152.825000,2.429772,727.175000,2.273642,13.645000,1.497527,713.530000,1.717417,9.439798,0.037224,4.991107,0.009597,5.183866,0.014506,5.964886,0.037439,5.890278,0.035356
2,5.964779,0.021554,648.890000,4.226260,156.755000,3.257071,94.355000,2.891800,674.550000,3.872927,34.955000,1.564012,639.595000,3.479989,9.224736,0.073576,5.602561,0.020916,5.824256,0.024191,5.918506,0.045558,7.076171,0.077550
3,6.421910,0.019289,639.405000,3.920298,159.695000,3.362830,100.900000,2.256921,618.340000,4.813538,15.925000,2.059650,602.415000,4.502971,10.470613,0.095566,5.972054,0.019871,6.202972,0.023265,6.164036,0.040934,8.273395,0.080710
4,6.439932,0.019144,632.070000,3.820655,166.295000,3.438602,101.635000,1.985646,615.045000,4.690012,12.555000,1.906006,602.490000,4.244701,10.620237,0.077771,5.975454,0.019603,6.182905,0.023430,6.142805,0.041980,8.581598,0.076144
5,6.452556,0.017508,634.710000,3.716803,163.555000,3.085288,101.735000,2.098441,610.535000,4.802786,12.240000,2.070741,598.295000,4.413786,10.584546,0.081891,5.993446,0.018735,6.173314,0.021530,6.177800,0.038425,8.693642,0.067119
6,6.455334,0.017841,632.895000,4.355219,164.475000,3.501690,102.630000,2.183683,607.205000,4.927369,14.085000,2.252288,593.120000,4.450043,10.526343,0.081165,6.002999,0.019090,6.179144,0.022810,6.130665,0.039942,8.737145,0.074701
7,6.449143,0.019194,629.785000,3.799257,166.050000,3.513573,104.165000,2.090851,610.300000,4.859351,12.980000,2.352737,597.320000,4.420821,10.489184,0.093699,6.000250,0.020333,6.163856,0.024315,6.145841,0.043964,8.708674,0.072290
8,6.471493,0.019382,634.265000,4.190404,164.580000,3.987995,101.155000,2.119386,604.230000,5.180863,13.940000,2.365285,590.290000,4.675341,10.485556,0.089388,6.025486,0.019865,6.184565,0.024213,6.151941,0.043702,8.860682,0.074344
9,6.455829,0.018294,629.755000,4.026129,165.495000,3.686200,104.750000,2.094494,603.490000,5.183773,12.160000,2.336371,591.330000,4.522112,10.431896,0.085819,6.014044,0.018036,6.167391,0.023839,6.163531,0.043518,8.695293,0.067418
10,6.463304,0.018074,630.110000,3.922235,163.355000,3.813863,106.535000,2.087298,608.715000,5.466454,15.245000,2.543355,593.470000,4.689798,10.413331,0.087572,6.024412,0.018754,6.182665,0.022509,6.133172,0.044454,8.677207,0.070135
11,6.468168,0.018753,631.645000,4.234682,165.530000,3.862125,102.825000,1.997001,606.255000,5.300092,15.505000,2.581083,590.750000,4.511184,10.363571,0.088066,6.035345,0.018603,6.179345,0.021906,6.126324,0.042794,8.843958,0.071442
12,6.454817,0.020788,631.375000,4.474095,164.555000,3.870283,104.070000,2.038384,604.630000,5.311559,15.395000,2.704527,589.235000,4.429616,10.316194,0.092336,6.025775,0.020218,6.171017,0.026457,6.126966,0.042648,8.745886,0.066369
13,6.470476,0.018647,632.455000,4.427999,164.510000,3.993307,103.035000,2.163882,604.165000,5.131556,15.065000,2.672617,589.100000,4.370586,10.308773,0.090443,6.043998,0.018744,6.188897,0.024038,6.120598,0.040361,8.812755,0.072458
14,6.468131,0.018576,630.695000,4.351778,166.620000,4.042448,102.685000,1.913430,601.735000,5.145582,14.630000,2.615531,587.105000,4.306633,10.273713,0.090205,6.045289,0.018619,6.187874,0.023747,6.119328,0.036801,8.793480,0.062837
15,6.468199,0.019423,632.200000,5.009136,163.370000,4.290149,104.430000,2.136053,600.990000,5.650362,14.600000,2.684362,586.390000,4.925322,10.297719,0.088013,6.042696,0.020335,6.188573,0.024861,6.128832,0.040611,8.748320,0.066622
