Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.446989,0.132713,6.428596,6.465382,6.459495,6.100000,6.784444,200
avg_utility_extremist,10.232180,0.641074,10.143331,10.321028,10.238990,8.300529,11.685654,200
avg_utility_mainstream,6.026413,0.134798,6.007731,6.045095,6.037324,5.586606,6.359279,200
avg_utility_gov_algorithmic,6.168949,0.179071,6.144131,6.193767,6.181660,5.648638,6.632360,200
avg_utility_gov_coalition,6.085590,0.259263,6.049658,6.121522,6.096662,5.363361,6.953491,200
avg_utility_gov_direct,8.744577,0.509679,8.673939,8.815215,8.718169,7.452101,10.152963,200
avg_utility_extremist_algorithmic,7.736474,1.149758,7.558872,7.914077,7.652174,4.849057,11.250000,161
avg_utility_extremist_direct,12.769511,0.368303,12.718467,12.820555,12.808766,11.095155,13.487198,200
avg_utility_mainstream_algorithmic,6.089455,0.155286,6.067934,6.110977,6.086322,5.648638,6.476998,200
avg_utility_mainstream_coalition,5.947482,0.247188,5.913224,5.981741,5.964948,5.190472,6.604214,200
avg_utility_mainstream_direct,5.626217,0.300167,5.584616,5.667818,5.648083,4.934113,6.761019,200
norm_utility_extremist,0.682145,0.042738,0.676222,0.688069,0.682599,0.553369,0.779044,200
norm_utility_mainstream,0.602641,0.013480,0.600773,0.604509,0.603732,0.558661,0.635928,200
total_relocations,60682.300000,640.969813,60593.466116,60771.133884,60706.000000,57400.000000,62032.000000,200
avg_relocations_per_community,67.424778,0.712189,67.326073,67.523482,67.451111,63.777778,68.924444,200
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,200
final_count_algorithmic,631.275000,32.066817,626.830766,635.719234,635.500000,539.000000,705.000000,200
final_proportion_algorithmic,0.701417,0.035630,0.696479,0.706355,0.706111,0.598889,0.783333,200
final_count_coalition,164.230000,27.048200,160.481311,167.978689,162.000000,90.000000,237.000000,200
final_proportion_coalition,0.182478,0.030054,0.178313,0.186643,0.180000,0.100000,0.263333,200
final_count_direct,104.495000,15.411931,102.359015,106.630985,104.000000,65.000000,160.000000,200
final_proportion_direct,0.116106,0.017124,0.113732,0.118479,0.115556,0.072222,0.177778,200
final_count_extremist_algorithmic,31.850000,18.557462,29.278067,34.421933,40.000000,0.000000,62.000000,200
final_count_extremist_coalition,13.215000,18.028977,10.716311,15.713689,0.000000,0.000000,55.000000,200
final_count_extremist_direct,44.935000,4.655010,44.289848,45.580152,45.000000,28.000000,56.000000,200
final_count_mainstream_algorithmic,599.425000,26.197633,595.794193,603.055807,600.000000,533.000000,664.000000,200
final_count_mainstream_coalition,151.015000,21.436004,148.044121,153.985879,151.000000,90.000000,207.000000,200
final_count_mainstream_direct,59.560000,14.249620,57.585103,61.534897,59.000000,23.000000,111.000000,200
avg_utility_extremist_coalition,8.003214,1.673493,7.649517,8.356910,7.845581,4.714286,12.615385,86
burst_rate,0.677778,,,,,,,
burst_size_median,39.000000,,,,,,,
escalation_mean_slope,0.674089,,,,,,,
escalation_p_value,0.000000,,,,,,,
displacement_util_delta_mean,0.030914,,,,,,,
displacement_frac_negative,0.055000,,,,,,,
enclave_mean_homogeneity,0.963272,,,,,,,
enclave_settling_step,12.050000,,,,,,,
burst_rate,0.677778,,,,,,,
burst_size_median,39.000000,,,,,,,
escalation_mean_slope,0.674089,,,,,,,
escalation_p_value,0.000000,,,,,,,
displacement_util_delta_mean,0.030914,,,,,,,
displacement_frac_negative,0.055000,,,,,,,
enclave_mean_homogeneity,0.963272,,,,,,,
enclave_settling_step,12.050000,,,,,,,
burst_rate,0.677778,,,,,,,
burst_size_median,39.000000,,,,,,,
escalation_mean_slope,0.674089,,,,,,,
escalation_p_value,0.000000,,,,,,,
displacement_util_delta_mean,0.030914,,,,,,,
displacement_frac_negative,0.055000,,,,,,,
enclave_mean_homogeneity,0.963272,,,,,,,
enclave_settling_step,12.050000,,,,,,,
