config_name,institution,n_platforms,rho_extremist,alpha,p_space,n_communities,avg_utility,avg_utility_extremist,avg_utility_mainstream,avg_utility_gov_algorithmic,avg_utility_gov_coalition,avg_utility_gov_direct,avg_utility_extremist_coalition,avg_utility_extremist_direct,avg_utility_mainstream_algorithmic,avg_utility_mainstream_coalition,avg_utility_mainstream_direct,norm_utility_extremist,norm_utility_mainstream,total_relocations,avg_relocations_per_community,settling_time_90pct,final_count_algorithmic,final_proportion_algorithmic,final_count_coalition,final_proportion_coalition,final_count_direct,final_proportion_direct,final_count_extremist_algorithmic,final_count_extremist_coalition,final_count_extremist_direct,final_count_mainstream_algorithmic,final_count_mainstream_coalition,final_count_mainstream_direct,avg_utility_extremist_algorithmic,convergence_pattern,convergence_settling_step,burst_rate,burst_size_median,escalation_mean_slope,escalation_p_value,displacement_util_delta_mean,displacement_frac_negative,enclave_mean_homogeneity,enclave_settling_step,convergence_pattern_mode
exp2_np3_rho005_alpha2,mixed,3,0.05,2.0,10,900,6.262997,9.749536,6.079495,6.221959,5.853101,6.741358,7.948257,11.770110,6.175594,5.767275,6.133497,0.812461,0.607950,32337.835000,35.930928,100.000000,514.775000,0.571972,177.825000,0.197583,207.400000,0.230444,15.415000,7.450000,22.135000,499.360000,170.375000,185.265000,7.762242,CONVERGED,,,,,,,,,,
exp2_np3_rho005_alpha5,mixed,3,0.05,5.0,10,900,6.210435,11.905376,5.910701,6.175464,5.832887,6.785759,10.111612,14.329678,6.113179,5.515080,5.642934,0.793692,0.591070,37194.900000,41.327667,100.000000,539.535000,0.599483,182.260000,0.202511,178.205000,0.198006,11.070000,11.795000,22.135000,528.465000,170.465000,156.070000,9.277871,CONVERGED,,,,,,,,,,
exp2_np3_rho005_alpha10,mixed,3,0.05,10.0,10,900,6.130509,15.246689,5.650710,6.127378,5.918481,6.494037,14.499233,17.127854,5.924477,5.077275,5.287031,0.762334,0.565071,41836.725000,46.485250,100.000000,553.265000,0.614739,178.835000,0.198706,167.900000,0.186556,13.475000,15.460000,16.065000,539.790000,163.375000,151.835000,14.338969,STILL_CLIMBING,,,,,,,,,,
exp2_np3_rho010_alpha2,mixed,3,0.1,2.0,10,900,6.351416,9.444138,6.007780,6.210136,5.824676,7.148570,7.455641,11.572099,6.143844,5.697390,5.948604,0.787011,0.600778,31913.280000,35.459200,100.000000,505.285000,0.561428,179.770000,0.199744,214.945000,0.238828,30.560000,14.505000,44.935000,474.725000,165.265000,170.010000,7.270943,CONVERGED,,,,,,,,,,
exp2_np3_rho010_alpha5,mixed,3,0.1,5.0,10,900,6.276262,10.991174,5.752382,6.067204,5.788402,7.528176,8.819894,13.692260,5.990819,5.341509,5.286379,0.732745,0.575238,37736.885000,41.929872,100.000000,548.920000,0.609911,175.935000,0.195483,175.145000,0.194606,23.120000,21.945000,44.935000,525.800000,153.990000,130.210000,7.875984,CONVERGED,,,,,,,,,,
exp2_np3_rho010_alpha10,mixed,3,0.1,10.0,10,900,6.195289,14.317011,5.292876,5.753382,5.937287,8.158970,13.117202,17.158621,5.577821,4.760302,4.676109,0.715851,0.529288,43681.285000,48.534761,100.000000,561.230000,0.623589,177.675000,0.197417,161.095000,0.178994,20.070000,26.330000,43.600000,541.160000,151.345000,117.495000,11.609010,CONVERGED,,,,,,,,,,
exp2_np3_rho015_alpha2,mixed,3,0.15,2.0,10,900,6.410082,9.148160,5.926892,6.205726,5.773192,7.637809,6.851610,11.291764,6.132200,5.590706,5.559118,0.762347,0.592689,34921.360000,38.801511,100.000000,528.035000,0.586706,181.435000,0.201594,190.530000,0.211700,40.140000,27.440000,67.420000,487.895000,153.995000,123.110000,7.137130,CONVERGED,,,,,,,,,,
exp2_np3_rho015_alpha5,mixed,3,0.15,5.0,10,900,6.322450,10.312444,5.618334,5.961544,5.711108,8.108446,7.705720,13.060593,5.873158,5.235490,4.967344,0.687496,0.561833,38437.665000,42.708517,100.000000,539.160000,0.599067,183.435000,0.203817,177.405000,0.197117,33.040000,34.540000,67.420000,506.120000,148.895000,109.985000,7.444585,PLATEAU,,,,,,,,,,
exp2_np3_rho015_alpha10,mixed,3,0.15,10.0,10,900,6.203554,12.390346,5.111767,5.470047,5.693428,9.260169,9.736261,15.959750,5.315238,4.737099,4.610980,0.619517,0.511177,41546.380000,46.162644,100.000000,554.865000,0.616517,176.940000,0.196600,168.195000,0.186883,33.830000,33.975000,67.195000,521.035000,142.965000,101.000000,8.500481,CONVERGED,,,,,,,,,,
exp2_np9_rho005_alpha2,mixed,9,0.05,2.0,10,900,6.395220,9.237176,6.245644,6.256027,6.134614,7.874376,7.289927,11.203021,6.226790,6.087942,6.813775,0.769765,0.624564,59376.355000,65.973728,100.000000,640.040000,0.711156,166.735000,0.185261,93.225000,0.103583,16.520000,6.345000,22.135000,623.520000,160.390000,71.090000,7.338266,CONVERGED,,,,,,,,,,
exp2_np9_rho005_alpha5,mixed,9,0.05,5.0,10,900,6.363240,10.936801,6.122526,6.203103,6.111149,8.169961,9.352410,13.515966,6.150953,5.991083,6.202285,0.729120,0.612253,61994.165000,68.882406,100.000000,650.660000,0.722956,164.770000,0.183078,84.570000,0.093967,16.905000,5.960000,22.135000,633.755000,158.810000,62.435000,8.252079,CONVERGED,,,,,,,,,,
exp2_np9_rho005_alpha10,mixed,9,0.05,10.0,10,900,6.338138,14.318516,5.918118,6.127804,6.341766,8.123858,13.456352,17.798636,5.993685,5.670380,5.737071,0.715926,0.591812,64323.835000,71.470928,100.000000,654.675000,0.727417,163.470000,0.181633,81.855000,0.090950,14.720000,14.660000,15.620000,639.955000,148.810000,66.235000,12.836515,PLATEAU,,,,,,,,,,
exp2_np9_rho010_alpha2,mixed,9,0.1,2.0,10,900,6.488661,8.921852,6.218307,6.259216,6.145571,8.396184,6.947642,10.899595,6.220160,6.087233,6.551979,0.743488,0.621831,59503.565000,66.115072,100.000000,631.075000,0.701194,161.250000,0.179167,107.675000,0.119639,34.330000,10.735000,44.935000,596.745000,150.515000,62.740000,6.905104,CONVERGED,,,,,,,,,,
exp2_np9_rho010_alpha5,mixed,9,0.1,5.0,10,900,6.446989,10.232180,6.026413,6.168949,6.085590,8.744577,8.003214,12.769511,6.089455,5.947482,5.626217,0.682145,0.602641,60682.300000,67.424778,100.000000,631.275000,0.701417,164.230000,0.182478,104.495000,0.116106,31.850000,13.215000,44.935000,599.425000,151.015000,59.560000,7.736474,CONVERGED,,,,,,,,,,
exp2_np9_rho010_alpha10,mixed,9,0.1,10.0,10,900,6.425299,12.272975,5.775558,6.050775,6.108732,9.272684,10.996405,15.692900,5.911560,5.748252,4.523094,0.613649,0.577556,61273.080000,68.081200,100.000000,634.290000,0.704767,161.820000,0.179800,103.890000,0.115433,32.070000,14.290000,43.640000,602.220000,147.530000,60.250000,9.422423,CONVERGED,,,,,,,,,,
exp2_np9_rho015_alpha2,mixed,9,0.15,2.0,10,900,6.579883,8.771419,6.193142,6.243724,6.166528,8.782610,7.047117,10.662641,6.198486,6.056146,6.512911,0.730952,0.619314,57890.105000,64.322339,100.000000,612.100000,0.680111,162.705000,0.180783,125.195000,0.139106,47.010000,20.570000,67.420000,565.090000,142.135000,57.775000,6.790388,CONVERGED,,,,,,,,,,
exp2_np9_rho015_alpha5,mixed,9,0.15,5.0,10,900,6.567259,9.784668,5.999481,6.174396,6.104107,9.132499,7.680422,12.131313,6.071060,5.941735,5.448528,0.652311,0.599948,58494.650000,64.994056,100.000000,618.975000,0.687750,157.515000,0.175017,123.510000,0.137233,50.325000,17.255000,67.420000,568.650000,140.260000,56.090000,7.415671,CONVERGED,,,,,,,,,,
exp2_np9_rho015_alpha10,mixed,9,0.15,10.0,10,900,6.514955,11.318186,5.667326,5.958060,6.143704,9.745795,9.156116,14.511140,5.827490,5.722509,3.912659,0.565909,0.566733,58330.530000,64.811700,100.000000,610.995000,0.678883,165.965000,0.184406,123.040000,0.136711,40.895000,26.880000,67.225000,570.100000,139.085000,55.815000,8.240768,CONVERGED,,,,,,,,,,
exp2_np27_rho005_alpha2,mixed,27,0.05,2.0,10,900,6.585427,8.909447,6.463111,6.462026,6.393707,8.588065,7.224772,10.734899,6.443646,6.372341,7.247633,0.742454,0.646311,72073.130000,80.081256,100.000000,676.625000,0.751806,164.035000,0.182261,59.340000,0.065933,18.585000,4.280000,22.135000,658.040000,159.755000,37.205000,7.111428,CONVERGED,,,,,,,,,,
exp2_np27_rho005_alpha5,mixed,27,0.05,5.0,10,900,6.551754,10.177425,6.360929,6.402614,6.382273,8.995107,8.962095,12.401420,6.367903,6.294829,6.549321,0.678495,0.636093,72337.480000,80.374978,100.000000,677.070000,0.752300,168.225000,0.186917,54.705000,0.060783,15.915000,6.950000,22.135000,661.155000,161.275000,32.570000,8.024991,CONVERGED,,,,,,,,,,
exp2_np27_rho005_alpha10,mixed,27,0.05,10.0,10,900,6.564622,12.784380,6.237266,6.348290,6.588574,9.314808,13.246819,15.045065,6.281131,6.141128,5.814558,0.639219,0.623727,72602.435000,80.669372,100.000000,678.595000,0.753994,167.395000,0.185994,54.010000,0.060011,13.510000,11.595000,19.895000,665.085000,155.800000,34.115000,10.318530,CONVERGED,,,,,,,,,,
exp2_np27_rho010_alpha2,mixed,27,0.1,2.0,10,900,6.661564,8.779250,6.426265,6.443210,6.401179,9.131702,7.170184,10.512949,6.411357,6.356048,7.105558,0.731604,0.642627,70690.580000,78.545089,100.000000,660.890000,0.734322,162.740000,0.180822,76.370000,0.084856,35.020000,10.045000,44.935000,625.870000,152.695000,31.435000,6.978204,CONVERGED,,,,,,,,,,
exp2_np27_rho010_alpha5,mixed,27,0.1,5.0,10,900,6.646197,9.614452,6.316391,6.399639,6.390707,9.498584,8.310032,11.713553,6.346636,6.285465,5.792001,0.640963,0.631639,70764.345000,78.627050,100.000000,663.290000,0.736989,164.130000,0.182367,72.580000,0.080644,33.335000,11.730000,44.935000,629.955000,152.400000,27.645000,7.441603,CONVERGED,,,,,,,,,,
exp2_np27_rho010_alpha10,mixed,27,0.1,10.0,10,900,6.625399,11.095334,6.128739,6.305868,6.428306,10.065964,11.741000,13.754012,6.217982,6.126999,4.082507,0.554767,0.612874,70564.700000,78.405222,100.000000,660.795000,0.734217,167.780000,0.186422,71.425000,0.079361,31.415000,14.775000,43.810000,629.380000,153.005000,27.615000,8.476812,CONVERGED,,,,,,,,,,
exp2_np27_rho015_alpha2,mixed,27,0.15,2.0,10,900,6.757396,8.646049,6.424105,6.454942,6.391006,9.358094,6.913097,10.355649,6.413374,6.346341,7.012072,0.720504,0.642410,68849.920000,76.499911,100.000000,645.075000,0.716750,157.810000,0.175344,97.115000,0.107906,53.625000,13.955000,67.420000,591.450000,143.855000,29.695000,6.902609,CONVERGED,,,,,,,,,,
exp2_np27_rho015_alpha5,mixed,27,0.15,5.0,10,900,6.746209,9.254250,6.303614,6.412212,6.362952,9.673795,7.509287,11.232982,6.344164,6.255371,5.648458,0.616950,0.630361,68831.375000,76.479306,100.000000,647.295000,0.719217,158.830000,0.176478,93.875000,0.104306,51.180000,16.400000,67.420000,596.115000,142.430000,26.455000,7.157518,CONVERGED,,,,,,,,,,
exp2_np27_rho015_alpha10,mixed,27,0.15,10.0,10,900,6.718319,10.268401,6.091834,6.299214,6.389924,10.196591,10.551252,12.787070,6.197020,6.148891,3.289776,0.513420,0.609183,68288.280000,75.875867,100.000000,648.280000,0.720311,159.340000,0.177044,92.380000,0.102644,51.705000,16.350000,66.945000,596.575000,142.990000,25.435000,7.623445,CONVERGED,99.345000,0.645370,31.000000,1.394505,0.000000,0.050320,0.000000,0.958347,22.874405,NOISY_PLATEAU
