iteration,step,platform_id,governance_type,n_mainstream,n_extremist,utility_mainstream,utility_extremist
0,1,901,direct,8,5,4.6008522727272725,13.387878787878787
0,1,902,algorithmic,54,7,4.479099218682552,9.857142857142858
0,1,903,algorithmic,66,3,4.5322940947940955,15.333333333333334
0,1,904,algorithmic,63,6,4.45259139009139,9.166666666666666
0,1,905,algorithmic,58,1,3.676108733220802,15.0
0,1,906,coalition,11,4,3.291322314049587,14.16083916083916
0,1,907,direct,13,6,4.4676573426573425,13.484848484848484
0,1,908,direct,13,5,3.3846153846153846,12.587878787878788
0,1,909,algorithmic,70,4,4.907425907425908,13.0
0,1,910,direct,8,3,3.8828125,14.375
0,1,911,coalition,14,4,4.440080752580752,13.265625
0,1,912,coalition,10,7,4.6469696969696965,15.535714285714286
0,1,913,direct,14,5,3.7322781385281383,13.75
0,1,914,coalition,13,5,3.5626008606777835,14.15
0,1,915,direct,11,8,1.9815241576605211,13.359375
0,1,916,direct,15,6,4.105429292929292,13.104166666666666
0,1,917,coalition,10,3,5.3225378787878785,13.333333333333334
0,1,918,algorithmic,58,5,4.929740876939152,11.6
0,1,919,coalition,15,8,3.956691919191919,12.752403846153847
0,1,920,coalition,11,5,2.742424242424242,14.486363636363638
0,1,921,algorithmic,81,7,4.650885636996748,10.571428571428571
0,1,922,direct,22,7,3.320281044712863,12.696428571428571
0,1,923,coalition,10,2,4.767234848484849,11.0
0,1,924,coalition,11,5,5.1477272727272725,14.35
0,1,925,algorithmic,39,7,4.030291823561054,10.571428571428571
0,1,926,direct,14,3,4.671130952380952,16.375
0,1,927,algorithmic,53,4,4.772512864493996,11.0
0,2,901,direct,12,5,4.867275698158051,12.266666666666666
0,2,902,algorithmic,95,23,4.79390756302521,7.99728007144887
0,2,903,algorithmic,66,3,4.7420364840150935,14.916666666666666
0,2,904,algorithmic,56,1,5.6612332432973185,17.0
0,2,905,algorithmic,42,1,5.588718820861678,18.0
0,2,906,coalition,20,4,4.883244206773619,13.214285714285715
0,2,907,direct,5,7,5.35,8.031746031746032
0,2,908,direct,4,2,6.125,12.323529411764707
0,2,909,algorithmic,70,4,4.865394491129786,13.0
0,2,910,direct,0,5,,11.4
0,2,911,coalition,22,4,4.546831955922865,12.695187165775401
0,2,912,coalition,15,1,5.609523809523809,11.25
0,2,913,direct,10,5,5.301960784313725,15.177777777777777
0,2,914,coalition,10,5,4.2,13.047058823529412
0,2,915,direct,9,2,5.039364230540701,15.11111111111111
0,2,916,direct,0,9,,10.777777777777779
0,2,917,coalition,15,3,4.239096850861556,15.333333333333334
