step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.599478,0.014994,585.200000,6.847131,158.940000,5.544116,155.860000,4.865240,760.820000,3.155286,41.400000,3.278273,719.420000,1.694951,9.118925,0.051633,4.978399,0.017404,5.277045,0.028564,6.194926,0.047689,6.198052,0.076306
2,6.253840,0.035875,634.220000,7.870997,166.660000,7.400397,99.120000,3.697544,735.440000,6.289516,69.320000,4.235481,666.120000,4.783541,8.559405,0.113603,5.846976,0.034339,6.024600,0.043575,6.168354,0.053238,7.910698,0.146612
3,6.683097,0.025233,638.680000,8.469052,167.600000,7.805122,93.720000,2.928666,700.560000,7.101224,43.940000,5.537324,656.620000,4.669168,9.609972,0.098434,6.166589,0.026270,6.335451,0.033233,6.526199,0.055099,9.341924,0.109157
4,6.703142,0.033542,634.640000,9.971265,170.760000,9.633882,94.600000,2.651587,690.780000,7.748727,38.380000,6.859232,652.400000,4.114762,9.511560,0.128572,6.207538,0.033357,6.349273,0.040543,6.487005,0.073012,9.466698,0.117004
5,6.735765,0.030322,634.280000,9.046217,169.480000,8.015875,96.240000,2.754016,687.560000,9.403025,42.020000,7.052775,645.540000,5.888583,9.478710,0.102876,6.251715,0.033614,6.391093,0.040588,6.498068,0.061361,9.433799,0.108300
6,6.738930,0.029732,638.780000,9.085522,164.180000,9.031758,97.040000,2.585090,688.620000,8.236549,43.220000,7.229487,645.400000,5.274415,9.492752,0.144819,6.252961,0.028038,6.381320,0.035314,6.484909,0.069669,9.506835,0.112318
7,6.764485,0.034454,641.580000,8.355660,163.660000,7.663536,94.760000,2.720217,686.680000,8.821100,44.580000,6.876857,642.100000,5.364978,9.499759,0.118853,6.281790,0.032190,6.421660,0.045266,6.449700,0.062308,9.639200,0.122322
8,6.742096,0.031111,642.960000,7.087919,162.440000,7.305835,94.600000,2.182564,682.660000,9.855779,43.840000,7.693096,638.820000,4.927583,9.331568,0.147735,6.285131,0.028973,6.400811,0.041343,6.438462,0.063171,9.586519,0.117046
9,6.730073,0.025684,640.320000,7.625555,165.620000,7.990140,94.060000,2.374829,689.960000,7.451991,48.840000,6.084539,641.120000,5.208494,9.254597,0.141509,6.284569,0.032101,6.387443,0.031117,6.422859,0.068027,9.596737,0.089965
10,6.712689,0.031643,638.920000,8.460420,165.460000,7.979992,95.620000,2.942474,687.460000,8.389019,43.660000,7.667218,643.800000,5.620124,9.279232,0.126726,6.259770,0.037730,6.358777,0.042521,6.417910,0.067953,9.589233,0.104013
