Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.200116,0.262004,6.127492,6.272740,6.245556,5.620904,6.785967,50
avg_utility_extremist,12.240574,0.959256,11.974682,12.506467,12.177493,10.362065,16.085963,50
avg_utility_mainstream,5.134152,0.271230,5.058971,5.209334,5.168134,4.533693,5.711269,50
avg_utility_gov_algorithmic,5.523744,0.509703,5.382462,5.665026,5.459338,4.681165,6.538729,50
avg_utility_gov_coalition,5.516717,0.831538,5.286227,5.747208,5.341586,4.243065,8.395810,50
avg_utility_gov_direct,9.220179,0.895373,8.971995,9.468364,9.326354,7.430906,11.653913,50
avg_utility_extremist_algorithmic,8.415411,1.047899,8.012612,8.818210,8.659642,6.538462,10.823529,26
avg_utility_extremist_direct,15.935375,0.709050,15.738836,16.131913,15.934040,14.193548,17.500000,50
avg_utility_mainstream_algorithmic,5.357071,0.359868,5.257320,5.456821,5.426113,4.681165,6.141862,50
avg_utility_mainstream_coalition,4.716003,0.351939,4.618451,4.813556,4.711342,3.760043,5.387856,50
avg_utility_mainstream_direct,4.617743,0.414565,4.502831,4.732655,4.663824,3.788783,5.556818,50
norm_utility_extremist,0.612029,0.047963,0.598734,0.625323,0.608875,0.518103,0.804298,50
norm_utility_mainstream,0.513415,0.027123,0.505897,0.520933,0.516813,0.453369,0.571127,50
total_relocations,41251.420000,871.915089,41009.737468,41493.102532,41195.000000,39737.000000,43265.000000,50
avg_relocations_per_community,45.834911,0.968795,45.566375,46.103447,45.772222,44.152222,48.072222,50
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,50
final_count_algorithmic,556.400000,43.261426,544.408544,568.391456,558.000000,436.000000,626.000000,50
final_proportion_algorithmic,0.618222,0.048068,0.604898,0.631546,0.620000,0.484444,0.695556,50
final_count_coalition,173.240000,35.564004,163.382161,183.097839,169.500000,103.000000,241.000000,50
final_proportion_coalition,0.192489,0.039516,0.181536,0.203442,0.188333,0.114444,0.267778,50
final_count_direct,170.360000,25.746615,163.223403,177.496597,172.000000,115.000000,229.000000,50
final_proportion_direct,0.189289,0.028607,0.181359,0.197218,0.191111,0.127778,0.254444,50
final_count_extremist_algorithmic,34.180000,34.010617,24.752738,43.607262,39.000000,0.000000,78.000000,50
final_count_extremist_coalition,32.980000,33.828191,23.603304,42.356696,18.000000,0.000000,75.000000,50
final_count_extremist_direct,67.840000,5.733397,66.250784,69.429216,68.500000,57.000000,81.000000,50
final_count_mainstream_algorithmic,522.220000,53.953226,507.264929,537.175071,525.500000,363.000000,616.000000,50
final_count_mainstream_coalition,140.260000,47.372519,127.129008,153.390992,140.000000,56.000000,235.000000,50
final_count_mainstream_direct,102.520000,24.548361,95.715541,109.324459,102.000000,55.000000,167.000000,50
avg_utility_extremist_coalition,8.782521,1.962631,8.013170,9.551873,8.333333,5.789474,14.954733,25
convergence_settling_step,99.660000,,,,,,,
burst_rate,1.000000,,,,,,,
burst_size_median,56.000000,,,,,,,
escalation_mean_slope,15.132628,,,,,,,
escalation_p_value,0.000000,,,,,,,
displacement_util_delta_mean,0.112408,,,,,,,
displacement_frac_negative,0.061224,,,,,,,
enclave_mean_homogeneity,0.804511,,,,,,,
enclave_settling_step,54.690476,,,,,,,
convergence_pattern_mode,OSCILLATING,,,,,,,
