iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.381033,5.445994,11.679587,0.544599,0.583979,58312,64.791111,100
1,43,6.613333,5.921242,10.535187,0.592124,0.526759,58514,65.015556,100
2,44,6.367778,5.578761,10.838874,0.557876,0.541944,58072,64.524444,100
3,45,6.529556,5.609502,11.743191,0.560950,0.587160,58480,64.977778,100
4,46,6.676667,5.538496,13.126303,0.553850,0.656315,58233,64.703333,100
5,47,6.386848,5.558143,11.082843,0.555814,0.554142,58522,65.024444,100
6,48,6.591111,5.587528,12.278080,0.558753,0.613904,58385,64.872222,100
7,49,6.538889,5.578527,11.980941,0.557853,0.599047,59294,65.882222,100
8,50,6.566667,5.930721,10.170358,0.593072,0.508518,59148,65.720000,100
9,51,6.750000,5.994822,11.029344,0.599482,0.551467,58441,64.934444,100
10,52,6.747778,6.068018,10.599753,0.606802,0.529988,59048,65.608889,100
11,53,6.600000,5.899907,10.567195,0.589991,0.528360,58236,64.706667,100
12,54,6.729144,5.794508,12.025414,0.579451,0.601271,57696,64.106667,100
13,55,6.379619,5.539949,11.137753,0.553995,0.556888,58232,64.702222,100
14,56,6.338732,5.437292,11.446892,0.543729,0.572345,58053,64.503333,100
15,57,6.791111,5.922550,11.712955,0.592255,0.585648,58063,64.514444,100
16,58,6.192951,5.089879,12.443692,0.508988,0.622185,57651,64.056667,100
17,59,6.336199,5.430031,11.471151,0.543003,0.573558,57681,64.090000,100
18,60,6.387778,5.651301,10.561148,0.565130,0.528057,58161,64.623333,100
19,61,6.683269,5.743580,12.008172,0.574358,0.600409,58469,64.965556,100
20,62,6.385556,5.468574,11.581785,0.546857,0.579089,57959,64.398889,100
21,63,6.489841,5.445627,12.407057,0.544563,0.620353,57816,64.240000,100
22,64,6.273819,5.161444,12.577281,0.516144,0.628864,59120,65.688889,100
23,65,6.155081,5.256360,11.247833,0.525636,0.562392,58937,65.485556,100
24,66,6.528095,5.676812,11.352032,0.567681,0.567602,57291,63.656667,100
25,67,6.441818,5.626916,11.059599,0.562692,0.552980,57317,63.685556,100
26,68,6.667778,5.829968,11.415368,0.582997,0.570768,57405,63.783333,100
27,69,6.415675,5.699614,10.473350,0.569961,0.523667,59297,65.885556,100
28,70,6.543333,5.716206,11.230389,0.571621,0.561519,58414,64.904444,100
29,71,6.397879,5.570605,11.085764,0.557060,0.554288,57399,63.776667,100
30,72,6.651345,5.450363,13.456910,0.545036,0.672845,58147,64.607778,100
31,73,6.353889,5.448808,11.482683,0.544881,0.574134,59058,65.620000,100
32,74,6.429124,5.491446,11.742630,0.549145,0.587132,57997,64.441111,100
33,75,6.518889,5.886462,10.102644,0.588646,0.505132,58218,64.686667,100
34,76,6.730000,5.949419,11.153292,0.594942,0.557665,57992,64.435556,100
35,77,6.608586,5.556493,12.570444,0.555649,0.628522,58712,65.235556,100
36,78,6.092881,5.166383,11.343034,0.516638,0.567152,58674,65.193333,100
37,79,6.783333,5.925394,11.644990,0.592539,0.582249,59070,65.633333,100
38,80,6.602339,5.755458,11.401333,0.575546,0.570067,58441,64.934444,100
39,81,6.523333,5.705928,11.155298,0.570593,0.557765,58765,65.294444,100
40,82,6.527111,5.205023,14.018945,0.520502,0.700947,57745,64.161111,100
41,83,6.880000,5.828212,12.840134,0.582821,0.642007,57702,64.113333,100
42,84,6.488889,5.662379,11.172445,0.566238,0.558622,58869,65.410000,100
43,85,6.535556,6.033899,9.378278,0.603390,0.468914,58351,64.834444,100
44,86,6.341286,5.379478,11.791531,0.537948,0.589577,58504,65.004444,100
45,87,6.984444,6.041888,12.325595,0.604189,0.616280,57404,63.782222,100
46,88,6.350536,5.309729,12.248447,0.530973,0.612422,58710,65.233333,100
47,89,6.555556,5.909091,10.218855,0.590909,0.510943,58595,65.105556,100
48,90,6.668889,5.704801,12.132052,0.570480,0.606603,58512,65.013333,100
49,91,6.691384,5.814713,11.659188,0.581471,0.582959,58257,64.730000,100
