Measure,Mean,SD,CI_Lower,CI_Upper,Median,Min,Max,N
avg_utility,6.474935,0.129971,6.456922,6.492948,6.460694,6.195394,6.976470,200
avg_utility_extremist,10.227092,0.611089,10.142399,10.311784,10.254886,8.389391,11.701306,200
avg_utility_mainstream,6.058029,0.131411,6.039816,6.076241,6.052456,5.766461,6.555806,200
avg_utility_gov_algorithmic,6.219318,0.163998,6.196590,6.242047,6.211570,5.693992,6.784313,200
avg_utility_gov_coalition,6.218619,0.315926,6.174834,6.262404,6.216114,5.446002,7.314395,200
avg_utility_gov_direct,8.511504,0.482642,8.444613,8.578395,8.466701,7.183306,10.248183,200
avg_utility_extremist_algorithmic,9.363260,2.734892,8.983272,9.743248,8.556207,4.635996,18.000000,199
avg_utility_extremist_coalition,11.452079,3.294571,10.953883,11.950275,11.890094,4.450000,16.821429,168
avg_utility_extremist_direct,12.010455,0.412648,11.953265,12.067645,12.026952,10.911315,13.341592,200
avg_utility_mainstream_algorithmic,6.102193,0.146660,6.081867,6.122519,6.108675,5.580101,6.653501,200
avg_utility_mainstream_coalition,5.918831,0.266064,5.881957,5.955706,5.907634,5.296277,6.617703,200
avg_utility_mainstream_direct,6.010380,0.393898,5.955789,6.064972,5.971920,5.189404,7.169087,200
norm_utility_extremist,0.852258,0.050924,0.845200,0.859315,0.854574,0.699116,0.975109,200
norm_utility_mainstream,0.605803,0.013141,0.603982,0.607624,0.605246,0.576646,0.655581,200
total_relocations,61486.635000,1009.963048,61346.661263,61626.608737,61619.500000,57348.000000,63507.000000,200
avg_relocations_per_community,68.318483,1.122181,68.162957,68.474010,68.466111,63.720000,70.563333,200
settling_time_90pct,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,200
final_count_algorithmic,632.195000,29.803662,628.064423,636.325577,630.000000,547.000000,712.000000,200
final_proportion_algorithmic,0.702439,0.033115,0.697849,0.707028,0.700000,0.607778,0.791111,200
final_count_coalition,164.585000,26.914956,160.854777,168.315223,163.500000,101.000000,238.000000,200
final_proportion_coalition,0.182872,0.029906,0.178728,0.187017,0.181667,0.112222,0.264444,200
final_count_direct,103.220000,15.082740,101.129639,105.310361,102.000000,71.000000,146.000000,200
final_proportion_direct,0.114689,0.016759,0.112366,0.117012,0.113333,0.078889,0.162222,200
final_count_extremist_algorithmic,32.880000,16.011792,30.660879,35.099121,39.000000,0.000000,55.000000,200
final_count_extremist_coalition,14.775000,16.370840,12.506117,17.043883,7.500000,0.000000,56.000000,200
final_count_extremist_direct,42.345000,4.274028,41.752650,42.937350,42.000000,33.000000,54.000000,200
final_count_mainstream_algorithmic,599.315000,25.702116,595.752868,602.877132,598.000000,519.000000,671.000000,200
final_count_mainstream_coalition,149.810000,21.171088,146.875837,152.744163,149.000000,98.000000,235.000000,200
final_count_mainstream_direct,60.875000,14.688025,58.839344,62.910656,60.000000,27.000000,105.000000,200
convergence_settling_step,99.615000,,,,,,,
burst_rate,0.696667,,,,,,,
burst_size_median,31.000000,,,,,,,
escalation_mean_slope,0.069182,,,,,,,
escalation_p_value,0.344588,,,,,,,
displacement_util_delta_mean,0.027050,,,,,,,
displacement_frac_negative,0.020000,,,,,,,
enclave_mean_homogeneity,0.942365,,,,,,,
enclave_settling_step,21.781667,,,,,,,
convergence_pattern_mode,NOISY_PLATEAU,,,,,,,
