iteration,seed,avg_utility,avg_utility_mainstream,avg_utility_extremist,norm_utility_mainstream,norm_utility_extremist,total_relocations,avg_relocations_per_community,settling_time_90pct
0,42,6.389532,5.963557,10.223309,0.596356,0.851942,61206,68.006667,100
1,43,6.535556,5.988045,11.463155,0.598804,0.955263,61334,68.148889,100
2,44,6.450404,5.918860,11.234300,0.591886,0.936192,61106,67.895556,100
3,45,6.426667,5.814226,11.938635,0.581423,0.994886,62336,69.262222,100
4,46,6.407778,5.876598,11.188398,0.587660,0.932367,61413,68.236667,100
5,47,6.616587,5.960768,12.518965,0.596077,1.043247,61931,68.812222,100
6,48,6.422629,5.783070,12.178661,0.578307,1.014888,61965,68.850000,100
7,49,6.285440,5.831370,10.372071,0.583137,0.864339,60761,67.512222,100
8,50,6.546179,5.999034,11.470484,0.599903,0.955874,62504,69.448889,100
9,51,6.654786,6.044689,12.145666,0.604469,1.012139,61227,68.030000,100
10,52,6.141040,5.479953,12.090823,0.547995,1.007569,62310,69.233333,100
11,53,6.373492,5.815861,11.392175,0.581586,0.949348,61733,68.592222,100
12,54,6.309014,5.683565,11.938057,0.568356,0.994838,61545,68.383333,100
13,55,6.420303,5.800521,11.998337,0.580052,0.999861,60736,67.484444,100
14,56,6.642222,6.092578,11.589022,0.609258,0.965752,62265,69.183333,100
15,57,6.646420,6.058520,11.937513,0.605852,0.994793,62632,69.591111,100
16,58,6.608068,5.911409,12.877994,0.591141,1.073166,61590,68.433333,100
17,59,6.490353,5.929401,11.538920,0.592940,0.961577,61644,68.493333,100
18,60,6.454444,5.814292,12.215815,0.581429,1.017985,61872,68.746667,100
19,61,6.449068,5.885543,11.520794,0.588554,0.960066,61930,68.811111,100
20,62,6.014223,5.495060,10.686685,0.549506,0.890557,62366,69.295556,100
21,63,6.732515,6.037681,12.986015,0.603768,1.082168,62447,69.385556,100
22,64,6.382406,5.892231,10.793980,0.589223,0.899498,61565,68.405556,100
23,65,6.627778,6.011909,12.170599,0.601191,1.014217,61440,68.266667,100
24,66,6.570311,5.959685,12.065946,0.595969,1.005496,61678,68.531111,100
25,67,6.486667,5.938881,11.416735,0.593888,0.951395,60783,67.536667,100
26,68,6.323008,5.790358,11.116858,0.579036,0.926405,62042,68.935556,100
27,69,6.483923,5.743991,13.143307,0.574399,1.095276,61943,68.825556,100
28,70,6.321275,5.742901,11.526640,0.574290,0.960553,61907,68.785556,100
29,71,6.425253,5.775642,12.271747,0.577564,1.022646,61910,68.788889,100
30,72,6.492494,5.785792,12.852816,0.578579,1.071068,61192,67.991111,100
31,73,6.474444,5.929309,11.380662,0.592931,0.948388,62103,69.003333,100
32,74,6.536296,5.961249,11.711721,0.596125,0.975977,62379,69.310000,100
33,75,6.502222,6.095572,10.162073,0.609557,0.846839,61285,68.094444,100
34,76,6.571898,5.929663,12.352012,0.592966,1.029334,61441,68.267778,100
35,77,6.786667,6.272518,11.414003,0.627252,0.951167,62199,69.110000,100
36,78,6.304646,5.783076,10.998785,0.578308,0.916565,62101,69.001111,100
37,79,6.400569,5.945716,10.494246,0.594572,0.874521,61152,67.946667,100
