step,avg_utility_mean,avg_utility_ci,community_count_algorithmic_mean,community_count_algorithmic_ci,community_count_coalition_mean,community_count_coalition_ci,community_count_direct_mean,community_count_direct_ci,n_relocations_mean,n_relocations_ci,type_relocations_extremist_mean,type_relocations_extremist_ci,type_relocations_mainstream_mean,type_relocations_mainstream_ci,type_utility_extremist_mean,type_utility_extremist_ci,type_utility_mainstream_mean,type_utility_mainstream_ci,utility_algorithmic_mean,utility_algorithmic_ci,utility_coalition_mean,utility_coalition_ci,utility_direct_mean,utility_direct_ci
1,5.435034,0.009685,600.490000,3.765242,152.480000,2.777354,147.030000,2.614040,741.355000,1.542298,11.500000,0.576897,729.855000,1.438583,11.855751,0.046924,4.721621,0.009690,5.050981,0.013791,6.255208,0.045347,6.208005,0.050944
2,5.993988,0.021397,643.685000,3.741366,159.735000,3.427853,96.580000,2.519634,665.265000,3.647729,17.830000,1.055685,647.435000,3.621734,11.655857,0.071501,5.364892,0.020393,5.761509,0.025968,6.261246,0.051162,7.242990,0.097294
3,6.309267,0.017928,648.975000,4.138018,159.035000,3.519546,91.990000,2.223268,644.045000,4.005719,12.040000,1.145215,632.005000,3.863589,11.991458,0.074784,5.677912,0.018322,6.082628,0.021411,6.539410,0.045661,7.624101,0.096832
4,6.351128,0.018257,651.605000,3.922828,157.525000,3.292160,90.870000,2.430482,638.560000,4.321339,9.545000,1.219738,629.015000,4.121799,12.299292,0.078246,5.690221,0.018470,6.093770,0.022608,6.540746,0.048474,7.981908,0.089912
5,6.365843,0.017984,649.810000,3.943161,159.130000,3.220768,91.060000,2.153296,632.305000,4.051241,7.730000,1.102957,624.575000,3.755062,12.420814,0.073528,5.693069,0.019114,6.095379,0.022682,6.515807,0.048176,8.147839,0.097320
6,6.392625,0.017324,650.400000,4.008289,159.530000,3.412767,90.070000,2.247428,630.850000,4.054921,7.710000,1.162510,623.140000,3.844167,12.419063,0.081281,5.723020,0.017899,6.105697,0.021828,6.553023,0.050693,8.288254,0.097972
7,6.388338,0.018690,648.120000,3.873645,159.315000,3.078174,92.565000,2.198189,629.010000,4.556662,7.830000,1.260699,621.180000,4.397419,12.447240,0.084719,5.715127,0.019920,6.104117,0.024053,6.526061,0.049534,8.249238,0.092726
8,6.370428,0.017930,647.180000,3.756972,161.300000,3.415795,91.520000,2.324049,635.625000,4.394558,6.935000,1.108837,628.690000,4.156497,12.431240,0.090267,5.697005,0.018859,6.066822,0.022599,6.494121,0.052597,8.439941,0.105008
9,6.397338,0.018885,646.305000,3.671933,160.060000,3.107357,93.635000,2.095113,630.515000,4.546865,8.425000,1.317334,622.090000,4.266887,12.400773,0.095985,5.730290,0.019914,6.092855,0.022411,6.551228,0.052724,8.345730,0.100076
10,6.401100,0.020026,646.210000,3.619121,159.960000,3.298455,93.830000,2.241864,627.990000,4.173798,8.685000,1.319467,619.305000,4.207959,12.402645,0.091583,5.734262,0.021275,6.090059,0.024687,6.535980,0.049014,8.429753,0.091698
11,6.412052,0.016694,646.625000,3.768021,160.490000,3.269922,92.885000,1.909168,624.040000,4.876994,8.720000,1.299980,615.320000,4.666025,12.356529,0.103487,5.751554,0.016864,6.097414,0.021946,6.529595,0.050118,8.499548,0.088669
